"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","unit.conv"
"INHS_FISH_107723",144263,"INHS_144263.JPG","107723","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107723.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10191789,957,956.03,237,236.05,58,58.69,70,69,123,3239,26441,0,0.42,392.588,"cm",-5.18,"INHS_FISH_107723_measure.json",24.38,24.35,6.04,6.01,1.48,1.49,1.78,1.76,3.13,0.21,1.72,"mm"
"INHS_FISH_107855",144310,"INHS_144310.JPG","107855","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107855.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10468932,1642,1641.31,350,349.21,78,79.62,123,123.63,208,9842,66419,0,1.12,393.956,"cm",-1.52,"INHS_FISH_107855_measure.json",41.68,41.66,8.88,8.86,1.98,2.02,3.12,3.14,5.28,0.63,4.28,"mm"
"INHS_FISH_108252",144421,"INHS_144421.JPG","108252","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108252.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9813481,1202,1201,294,295.72,79,79.4,99,98.05,164,6533,40525,-0.01,-0.14,394.532,"cm",3.41,"INHS_FISH_108252_measure.json",30.47,30.44,7.45,7.5,2,2.01,2.51,2.49,4.16,0.42,2.6,"mm"
"INHS_FISH_108579",144485,"INHS_144485.JPG","108579","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108579.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9584858,1569,1568,402,401.08,110,111.31,132,131,217,11711,73823,-0.02,-0.04,394.979,"cm",4.27,"INHS_FISH_108579_measure.json",39.72,39.7,10.18,10.15,2.78,2.82,3.34,3.32,5.49,0.75,4.73,"mm"
"INHS_FISH_108622",144499,"INHS_144499.JPG","108622","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108622.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10623133,950,949.54,239,240.42,51,52.89,81,81.05,125,5119,26347,0,-1.93,390.816,"cm",-1.73,"INHS_FISH_108622_measure.json",24.31,24.3,6.12,6.15,1.3,1.35,2.07,2.07,3.2,0.34,1.72,"mm"
"INHS_FISH_108901",144590,"INHS_144590.JPG","108901","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108901.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10624154,1656,1655.27,404,403.36,116,116.16,125,124.04,223,10037,72716,0,-1.04,394.334,"cm",6.47,"INHS_FISH_108901_measure.json",41.99,41.98,10.25,10.23,2.94,2.95,3.17,3.15,5.66,0.65,4.68,"mm"
"INHS_FISH_109174",144634,"INHS_144634.JPG","109174","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109174.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10628211,1772,1771.02,402,402.61,90,90.09,121,120.42,191,10645,67655,0,-0.26,377.93,"cm",5.82,"INHS_FISH_109174_measure.json",46.89,46.86,10.64,10.65,2.38,2.38,3.2,3.19,5.05,0.75,4.74,"mm"
"INHS_FISH_109176",144636,"INHS_144636.JPG","109176","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109176.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10410511,1971,1970.12,445,446.7,120,127.47,135,134.01,225,12548,85847,0,-0.64,378.174,"cm",-2.89,"INHS_FISH_109176_measure.json",52.12,52.1,11.77,11.81,3.17,3.37,3.57,3.54,5.95,0.88,6,"mm"
"INHS_FISH_109178",144638,"INHS_144638.JPG","109178","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109178.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9823582,1909,1908.4,452,451.75,122,123.79,132,131.55,238,12876,95886,0,-1.17,379.248,"cm",-1.79,"INHS_FISH_109178_measure.json",50.34,50.32,11.92,11.91,3.22,3.26,3.48,3.47,6.28,0.9,6.67,"mm"
"INHS_FISH_109180",144640,"INHS_144640.JPG","109180","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109180.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,12095445,2019,2018.98,448,448.79,122,139.67,144,143,252,13502,93777,0,-1.79,378.365,"cm",-0.38,"INHS_FISH_109180_measure.json",53.36,53.36,11.84,11.86,3.22,3.69,3.81,3.78,6.66,0.94,6.55,"mm"
"INHS_FISH_109181",144641,"INHS_144641.JPG","109181","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109181.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9488934,2204,2203.09,482,481.81,132,136.31,128,127,265,13272,111700,-0.01,-0.52,378.773,"cm",-0.76,"INHS_FISH_109181_measure.json",58.19,58.16,12.73,12.72,3.48,3.6,3.38,3.35,7,0.93,7.79,"mm"
"INHS_FISH_109184",144644,"INHS_144644.JPG","109184","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109184.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10481512,1786,1785.14,405,404.9,104,104.58,123,122.04,207,10273,73784,0,0.71,378.214,"cm",3.57,"INHS_FISH_109184_measure.json",47.22,47.2,10.71,10.71,2.75,2.77,3.25,3.23,5.47,0.72,5.16,"mm"
"INHS_FISH_109190",144650,"INHS_144650.JPG","109190","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109190.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,8867655,2255,2254,517,516.47,142,151.22,132,131.06,264,12737,118496,0,-0.05,377.636,"cm",3.25,"INHS_FISH_109190_measure.json",59.71,59.69,13.69,13.68,3.76,4,3.5,3.47,6.99,0.89,8.31,"mm"
"INHS_FISH_109191",144651,"INHS_144651.JPG","109191","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109191.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10259881,2414,2413.09,520,519.25,152,157.18,145,146.7,288,15424,130015,0,-0.5,381.082,"cm",1.79,"INHS_FISH_109191_measure.json",63.35,63.32,13.65,13.63,3.99,4.12,3.8,3.85,7.56,1.06,8.95,"mm"
"INHS_FISH_109193",144653,"INHS_144653.JPG","109193","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109193.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9883055,1232,1231.32,261,260.32,45,46.32,101,101.43,40,8014,27100,0,-1.3,378.865,"cm",5.07,"INHS_FISH_109193_measure.json",32.52,32.5,6.89,6.87,1.19,1.22,2.67,2.68,1.06,0.56,1.89,"mm"
"INHS_FISH_109198",144658,"INHS_144658.JPG","109198","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109198.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11168604,2380,2379.13,660,663.37,137,137.23,157,157.04,289,18251,139239,0,-0.6,378.904,"cm",-4.08,"INHS_FISH_109198_measure.json",62.81,62.79,17.42,17.51,3.62,3.62,4.14,4.14,7.63,1.27,9.7,"mm"
"INHS_FISH_109201",144661,"INHS_144661.JPG","109201","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109201.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10142884,1914,1913.32,430,435.17,101,101.12,139,138.06,211,12988,81596,0,1.05,376.145,"cm",-0.7,"INHS_FISH_109201_measure.json",50.88,50.87,11.43,11.57,2.69,2.69,3.7,3.67,5.61,0.92,5.77,"mm"
"INHS_FISH_109205",144665,"INHS_144665.JPG","109205","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109205.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10602237,1959,1958.2,463,462.35,128,130.61,159,158.05,249,17842,96171,0,-0.82,379.871,"cm",-0.28,"INHS_FISH_109205_measure.json",51.57,51.55,12.19,12.17,3.37,3.44,4.19,4.16,6.55,1.24,6.66,"mm"
"INHS_FISH_109206",144666,"INHS_144666.JPG","109206","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109206.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10822140,1555,1554.02,358,357.14,91,101.08,111,110.37,197,6833,57043,0,-0.29,379.732,"cm",0.57,"INHS_FISH_109206_measure.json",40.95,40.92,9.43,9.41,2.4,2.66,2.92,2.91,5.19,0.47,3.96,"mm"
"INHS_FISH_109244",144675,"INHS_144675.JPG","109244","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109244.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10814878,1282,1281,313,313.64,77,77.23,99,99.14,164,7341,44711,0,0,394.562,"cm",-9.57,"INHS_FISH_109244_measure.json",32.49,32.47,7.93,7.95,1.95,1.96,2.51,2.51,4.16,0.47,2.87,"mm"
"INHS_FISH_109884",144709,"INHS_144709.JPG","109884","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109884.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10203014,1791,1790.7,393,392.93,98,107.84,134,133.03,111,12326,61316,0,-1.6,393.936,"cm",-2.59,"INHS_FISH_109884_measure.json",45.46,45.46,9.98,9.97,2.49,2.74,3.4,3.38,2.82,0.79,3.95,"mm"
"INHS_FISH_11806",124480,"INHS_124480.JPG","11806","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11806.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11220392,1506,1505.15,345,344.21,97,99.46,111,110.02,192,8729,56002,-0.01,0.8,393.861,"cm",1.28,"INHS_FISH_11806_measure.json",38.24,38.22,8.76,8.74,2.46,2.53,2.82,2.79,4.87,0.56,3.61,"mm"
"INHS_FISH_11858",124489,"INHS_124489.JPG","11858","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11858.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11350486,1877,1876.03,468,467.15,136,138.85,146,145.03,256,13552,95325,0,0.31,395.61,"cm",7.13,"INHS_FISH_11858_measure.json",47.45,47.42,11.83,11.81,3.44,3.51,3.69,3.67,6.47,0.87,6.09,"mm"
"INHS_FISH_11869",124493,"INHS_124493.JPG","11869","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11869.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11520447,1626,1625.01,378,378.27,105,110.37,133,132.38,212,12129,67349,0,-0.18,393.85,"cm",9.29,"INHS_FISH_11869_measure.json",41.28,41.26,9.6,9.6,2.67,2.8,3.38,3.36,5.38,0.78,4.34,"mm"
"INHS_FISH_11891",124499,"INHS_124499.JPG","11891","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11891.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11054368,1624,1623.14,359,358.74,89,96.77,124,123.26,206,10242,65101,0,-0.74,393.958,"cm",3.2,"INHS_FISH_11891_measure.json",41.22,41.2,9.11,9.11,2.26,2.46,3.15,3.13,5.23,0.66,4.19,"mm"
"INHS_FISH_12657",124643,"INHS_124643.JPG","12657","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_12657.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10817013,1696,1695.3,403,402,85,96.65,115,114.16,219,9735,81133,0,-1.08,394.974,"cm",-2.19,"INHS_FISH_12657_measure.json",42.94,42.92,10.2,10.18,2.15,2.45,2.91,2.89,5.54,0.62,5.2,"mm"
"INHS_FISH_1420",121999,"INHS_121999.JPG","1420","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_1420.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10533944,1459,1458.09,350,349.02,78,84.31,121,120.34,188,8790,57278,0,-0.63,394.605,"cm",0.75,"INHS_FISH_1420_measure.json",36.97,36.95,8.87,8.84,1.98,2.14,3.07,3.05,4.76,0.56,3.68,"mm"
"INHS_FISH_1475",122014,"INHS_122014.JPG","1475","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_1475.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11256335,1700,1699.2,400,403.79,104,105.55,125,125.03,213,11468,72672,0,0.88,397.535,"cm",2.08,"INHS_FISH_1475_measure.json",42.76,42.74,10.06,10.16,2.62,2.66,3.14,3.15,5.36,0.73,4.6,"mm"
"INHS_FISH_17758",125956,"INHS_125956.JPG","17758","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_17758.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11029840,1434,1433.11,322,321.62,81,82.98,98,99.46,178,7677,50701,0,-0.72,395.249,"cm",-3.83,"INHS_FISH_17758_measure.json",36.28,36.26,8.15,8.14,2.05,2.1,2.48,2.52,4.5,0.49,3.25,"mm"
"INHS_FISH_17803",125965,"INHS_125965.JPG","17803","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_17803.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11382234,1690,1689.52,365,367.7,87,90.8,125,124.26,202,11308,62217,0,1.42,394.883,"cm",1.06,"INHS_FISH_17803_measure.json",42.8,42.79,9.24,9.31,2.2,2.3,3.17,3.15,5.12,0.73,3.99,"mm"
"INHS_FISH_22941",127178,"INHS_127178.JPG","22941","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_22941.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11321737,1505,1504.21,371,373.23,98,98.62,96,95.19,204,5935,62227,0,0.95,394.101,"cm",-1.05,"INHS_FISH_22941_measure.json",38.19,38.17,9.41,9.47,2.49,2.5,2.44,2.42,5.18,0.38,4.01,"mm"
"INHS_FISH_26980",128239,"INHS_128239.JPG","26980","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_26980.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11835425,1068,1067,249,250.89,53,53.6,77,76,136,4359,30365,0,-0.11,395.06,"cm",5.98,"INHS_FISH_26980_measure.json",27.03,27.01,6.3,6.35,1.34,1.36,1.95,1.92,3.44,0.28,1.95,"mm"
"INHS_FISH_27043",128244,"INHS_128244.JPG","27043","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27043.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10586574,1142,1141.09,285,284.7,67,67.19,85,84.05,147,5091,35563,0,-0.7,393.262,"cm",8.63,"INHS_FISH_27043_measure.json",29.04,29.02,7.25,7.24,1.7,1.71,2.16,2.14,3.74,0.33,2.3,"mm"
"INHS_FISH_27108",128257,"INHS_128257.JPG","27108","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27108.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10899872,1492,1491.37,370,369.2,113,115.73,106,105.08,189,8262,56434,0,-1.27,394.322,"cm",11.23,"INHS_FISH_27108_measure.json",37.84,37.82,9.38,9.36,2.87,2.93,2.69,2.66,4.79,0.53,3.63,"mm"
"INHS_FISH_27141",128263,"INHS_128263.JPG","27141","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27141.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11179071,1936,1935.03,450,449.25,133,133.18,120,120.07,234,10037,87804,0,0.33,395.15,"cm",-2.31,"INHS_FISH_27141_measure.json",48.99,48.97,11.39,11.37,3.37,3.37,3.04,3.04,5.92,0.64,5.62,"mm"
"INHS_FISH_27168",128266,"INHS_128266.JPG","27168","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27168.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10761169,1638,1637.03,395,397.96,102,102.08,124,123.15,209,10351,69490,0,0.35,375.68,"cm",1.38,"INHS_FISH_27168_measure.json",43.6,43.58,10.51,10.59,2.72,2.72,3.3,3.28,5.56,0.73,4.92,"mm"
"INHS_FISH_28477",128397,"INHS_128397.JPG","28477","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_28477.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10970074,1990,1989.06,524,523.03,179,184.09,129,128.32,261,11199,108053,0,0.46,395.697,"cm",2.17,"INHS_FISH_28477_measure.json",50.29,50.27,13.24,13.22,4.52,4.65,3.26,3.24,6.6,0.72,6.9,"mm"
"INHS_FISH_28516",128401,"INHS_128401.JPG","28516","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_28516.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11136336,2356,2355.53,521,521.11,151,153.95,138,137.52,257,12092,113218,0.01,-1.22,392.026,"cm",3.63,"INHS_FISH_28516_measure.json",60.1,60.09,13.29,13.29,3.85,3.93,3.52,3.51,6.56,0.79,7.37,"mm"
"INHS_FISH_29673",128485,"INHS_128485.JPG","29673","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_29673.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10681776,2239,2238.01,514,516.85,154,154.01,161,160.7,273,17156,119310,0,-0.13,394.234,"cm",-1.39,"INHS_FISH_29673_measure.json",56.79,56.77,13.04,13.11,3.91,3.91,4.08,4.08,6.92,1.1,7.68,"mm"
"INHS_FISH_30800",128703,"INHS_128703.JPG","30800","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_30800.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10563907,3038,3037.19,687,686.16,208,212.4,194,194.14,339,24644,189582,0,-0.64,359.799,"cm",2.41,"INHS_FISH_30800_measure.json",84.44,84.41,19.09,19.07,5.78,5.9,5.39,5.4,9.42,1.9,14.64,"mm"
"INHS_FISH_33014",129014,"INHS_129014.JPG","33014","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33014.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10670078,1902,1901.04,481,480.04,128,134.41,136,135,253,12960,99326,0.01,-0.36,393.781,"cm",-2.42,"INHS_FISH_33014_measure.json",48.3,48.28,12.21,12.19,3.25,3.41,3.45,3.43,6.42,0.84,6.41,"mm"
"INHS_FISH_33196",129054,"INHS_129054.JPG","33196","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33196.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10713578,1081,1080,283,282,83,100.69,87,86.09,163,5102,36449,0,0,393.379,"cm",9.04,"INHS_FISH_33196_measure.json",27.48,27.45,7.19,7.17,2.11,2.56,2.21,2.19,4.14,0.33,2.36,"mm"
"INHS_FISH_33330",129084,"INHS_129084.JPG","33330","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33330.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11115981,2399,2398.33,533,534.54,140,140.13,148,147.17,271,15404,126499,0,0.96,396.695,"cm",0.98,"INHS_FISH_33330_measure.json",60.47,60.46,13.44,13.47,3.53,3.53,3.73,3.71,6.83,0.98,8.04,"mm"
"INHS_FISH_33382",129091,"INHS_129091.JPG","33382","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33382.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,11020914,2450,2449.17,624,626.92,178,179.61,186,189.93,297,25515,148079,0,0.68,360.569,"cm",2.66,"INHS_FISH_33382_measure.json",67.95,67.93,17.31,17.39,4.94,4.98,5.16,5.27,8.24,1.96,11.39,"mm"
