"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage","file_name"
1,1,2,0.912472647702407,1,1,1,1,1,1,2,0.862659908279025,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_33382"
1,1,0,0,3,0.996583092966497,1,1,1,1,2,0.565061475409836,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_33608"
1,1,3,0.919573643410853,1,1,1,1,2,0.626225963394857,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_33711"
1,1,0,0,2,0.999650324698494,1,1,2,0.94804563141139,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_35010"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_35020"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.976222663521631,"INHS_FISH_3504"
1,1,1,1,1,1,2,0.996368250634462,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_36043"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_36527"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_36532"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_37891"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38217"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.98770592981776,"INHS_FISH_38220"
1,1,2,0.96529284164859,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988685238081124,"INHS_FISH_38302"
1,1,0,0,1,1,2,0.997043606799704,1,1,2,0.99932287552195,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38304"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999357713297758,"INHS_FISH_38421"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38522"
1,1,1,1,1,1,1,1,2,0.584048460373549,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38536"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38725"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38783"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_38815"
1,1,3,0.806587245970568,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39009"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39053"
1,1,2,0.818327974276527,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983732309340305,"INHS_FISH_39054"
1,1,0,0,2,0.999556089408816,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39078"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39101"
1,1,2,0.522388059701492,1,1,1,1,2,0.961591672705712,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39104"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39175"
1,1,0,0,1,1,1,1,1,1,2,0.996978149697815,1,1,1,1,0,0,0,0,2,0.979126749436083,"INHS_FISH_39401"
1,1,1,1,1,1,1,1,2,0.825726744186047,2,0.75152061275062,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39448"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39488"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.985614253526114,"INHS_FISH_39556"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39569"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.978773172522857,"INHS_FISH_39584"
1,1,0,0,1,1,1,1,1,1,2,0.569046378322043,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_39603"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.970656786876701,"INHS_FISH_40063"
1,1,0,0,1,1,0,0,2,0.523258623003624,1,1,1,1,1,1,0,0,0,0,2,0.976485524789713,"INHS_FISH_40481"
1,1,0,0,1,1,2,0.996649083362158,1,1,1,1,1,1,1,1,0,0,0,0,2,0.959336042452121,"INHS_FISH_40608"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.995508721707957,"INHS_FISH_40755"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.974805555231643,"INHS_FISH_40851"
1,1,2,0.98531684698609,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_41403"
1,1,0,0,1,1,1,1,1,1,2,0.985567382283962,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_41657"
1,1,0,0,2,0.999907566218534,1,1,2,0.580240002798866,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_41686"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_41708"
