"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage"
1,1,2,0.540229885057471,1,1,1,1,2,0.540802129332769,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999908941904935,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.9839369064864
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.977740239932432
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0.953726825223136
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.999083409715857,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.989420861559925
1,1,1,1,2,0.998567898461193,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.989516864175023,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.997995420978355
1,1,1,1,1,1,1,1,2,0.628254220552465,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,2,0.999554002824649,2,0.779802017009806,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.899038461538462,2,0.999311827956989,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.977737051792829
1,1,1,1,1,1,1,1,3,0.997811906531253,1,1,1,1,1,1,0,0,0,0,2,0.981020190755198
1,1,0,0,1,1,1,1,1,1,3,0.993685180917262,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.806440944230849,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983058134675031
1,1,0,0,2,0.999690699141235,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.778054862842893,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,2,0.999250149970006,2,0.872409930931492,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
