"X","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","SL_bbox.diff","SL_lm.diff","HL_bbox.diff","HL_lm.diff","pOD_bbox.diff","pOD_lm.diff","ED_bbox.diff","ED_lm.diff","HH_lm.diff","EA_m.diff","HA_m.diff"
"INHS_FISH_52831",2.86,2.86,0.65,0.65,0.12,0.12,0.2,0.2,132,0.03,0.2,28.62,28.6,6.48,6.47,1.17,1.24,2.03,2.01,3.35,1197.83,7674.95,-0.00200000000000022,-4.44089209850063e-16,0.002,0.003,0.003,-0.004,-0.00299999999999997,-0.000999999999999973,131.665,-119.753,-767.295
"INHS_FISH_53960",4.5,4.52,1.16,1.17,0.32,0.32,0.39,0.39,256,0.11,0.63,45.03,45.18,11.63,11.65,3.19,3.23,3.93,3.9,6.49,4168.38,24961.86,-0.00300000000000011,0.00199999999999978,-0.00300000000000011,0.00499999999999989,0.001,-0.003,-0.003,0,255.351,-416.728,-2495.556
"INHS_FISH_53966",4.48,4.48,1.04,1.04,0.3,0.31,0.3,0.3,212,0.06,0.46,44.76,44.81,10.42,10.42,2.99,3.07,2.99,2.97,5.37,2382.17,18082.71,0.00400000000000045,-0.000999999999999446,-0.002,-0.002,0.000999999999999945,0.003,0.000999999999999945,0.00299999999999995,211.463,-238.157,-1807.811
"INHS_FISH_54290",4.06,4.06,1.05,1.05,0.27,0.28,0.35,0.35,216,0.08,0.5,40.56,40.6,10.46,10.52,2.75,2.81,3.48,3.45,5.44,3150.47,19702.97,0.00399999999999956,-8.88178419700125e-16,0.004,-0.002,-0.005,-0.001,0.002,0.00499999999999995,215.456,-314.967,-1969.797
"INHS_FISH_54292",3.82,3.84,0.94,0.94,0.25,0.25,0.32,0.31,207,0.06,0.41,38.25,38.4,9.42,9.42,2.47,2.52,3.16,3.14,5.27,2534.73,16281.69,-0.00500000000000034,0,-0.002,-0.002,0.00299999999999997,-0.002,0.004,-0.004,206.473,-253.413,-1627.759
"INHS_FISH_54294",5.05,5.05,1.32,1.32,0.4,0.41,0.41,0.41,297,0.11,0.79,50.54,50.51,13.2,13.18,4,4.14,4.11,4.08,7.53,4472.93,31353.81,-0.00400000000000045,-0.00100000000000033,2.22044604925031e-16,0.002,0,-0.004,-0.00100000000000006,0.00199999999999995,296.247,-447.183,-3134.591
"INHS_FISH_54317",3.56,3.57,0.76,0.76,0.15,0.15,0.23,0.24,171,0.04,0.3,35.62,35.65,7.61,7.59,1.5,1.54,2.33,2.36,4.34,1717.34,11744.1,-0.00199999999999978,0.00499999999999989,-0.001,0.001,0,-0.004,-0.003,0.004,170.566,-171.694,-1174.11
"INHS_FISH_54318",5.34,5.34,1.3,1.31,0.38,0.38,0.35,0.35,268,0.09,0.72,53.43,53.42,12.98,13.07,3.8,3.81,3.52,3.5,6.8,3570.22,28335.09,-0.00300000000000011,-0.00200000000000067,0.002,0.00300000000000011,0,-0.001,-0.002,0,267.32,-356.932,-2832.789
"INHS_FISH_54319",5.04,5.03,1,1,0.24,0.26,0.32,0.31,237,0.08,0.54,50.35,50.33,10.04,10.01,2.42,2.62,3.16,3.15,6.04,3019.91,21375.08,0.00499999999999989,-0.00299999999999923,-0.004,-0.00099999999999989,-0.002,-0.002,0.004,-0.005,236.396,-301.911,-2136.968
"INHS_FISH_54320",3.74,3.74,0.87,0.87,0.22,0.23,0.29,0.29,194,0.05,0.36,37.42,37.41,8.69,8.73,2.23,2.29,2.91,2.89,4.92,2087.42,14138.95,-0.00199999999999978,-0.000999999999999446,0.001,-0.003,-0.003,0.001,-0.00100000000000006,0.000999999999999945,193.508,-208.692,-1413.535
"INHS_FISH_5553",4.45,4.45,1.05,1.06,0.24,0.24,0.3,0.3,235,0.07,0.55,44.47,44.45,10.45,10.64,2.43,2.43,3.01,2.99,5.95,2694.75,21762.79,0.00300000000000011,0.00499999999999989,0.00500000000000012,-0.004,-0.00300000000000003,-0.00300000000000003,-0.001,0.000999999999999945,234.405,-269.405,-2175.729
"INHS_FISH_5569",3.2,3.2,0.77,0.78,0.21,0.21,0.22,0.22,169,0.03,0.3,31.97,31.98,7.73,7.83,2.06,2.12,2.19,2.16,4.3,1330.56,11684.9,0.00300000000000011,0.00200000000000022,-0.003,-0.003,0.00399999999999998,-0.00200000000000003,0.001,0.00399999999999998,168.57,-133.026,-1168.19
"INHS_FISH_55734",4.89,4.88,1.22,1.22,0.36,0.36,0.38,0.38,239,0.1,0.6,48.85,48.83,12.21,12.19,3.6,3.63,3.83,3.81,6.11,3863.58,23512.86,0.00499999999999989,-0.00300000000000011,-0.00100000000000011,0.00100000000000011,0,-0.003,-0.003,-0.001,238.389,-386.258,-2350.686
"INHS_FISH_55761",5.67,5.79,1.22,1.24,0.36,0.36,0.37,0.36,257,0.1,0.67,56.68,57.89,12.24,12.39,3.59,3.6,3.66,3.64,6.58,3776.02,26189.35,0.00199999999999978,0.00100000000000033,-0.004,0.00099999999999989,0.001,0,0.004,-0.004,256.342,-377.502,-2618.265
"INHS_FISH_55788",3.98,3.98,0.97,0.97,0.27,0.27,0.31,0.31,212,0.06,0.44,39.78,39.76,9.69,9.67,2.66,2.7,3.09,3.06,5.36,2551.52,17240.29,0.00199999999999978,0.004,0.001,0.003,0.004,0,0.001,0.004,211.464,-255.092,-1723.589
"INHS_FISH_55841",5.14,5.14,1.19,1.19,0.32,0.34,0.36,0.35,252,0.09,0.67,51.4,51.37,11.95,11.92,3.18,3.42,3.57,3.54,6.42,3438.65,26416.05,0,0.00300000000000011,-0.00499999999999989,-0.002,0.002,-0.00199999999999995,0.003,-0.004,251.358,-343.775,-2640.935
"INHS_FISH_5622",3.79,3.81,0.91,0.91,0.24,0.24,0.28,0.28,203,0.06,0.4,37.92,38.08,9.05,9.15,2.42,2.42,2.8,2.77,5.16,2171.98,15658.03,-0.00200000000000022,0.00200000000000022,0.005,-0.005,-0.002,-0.002,5.55111512312578e-17,0.003,202.484,-217.138,-1565.403
"INHS_FISH_56360",3.7,3.7,1.03,1.03,0.28,0.29,0.33,0.33,226,0.08,0.47,37.04,37.05,10.32,10.31,2.76,2.94,3.31,3.3,5.72,3054.92,18626.87,-0.00399999999999956,-0.00499999999999945,-0.002,-0.00100000000000011,0.00400000000000006,-0.004,-0.001,5.55111512312578e-17,225.428,-305.412,-1862.217
"INHS_FISH_5672",3.67,3.68,0.78,0.78,0.16,0.18,0.24,0.24,186,0.04,0.32,36.72,36.77,7.8,7.78,1.62,1.81,2.37,2.36,4.7,1561.34,12591.95,-0.00199999999999978,0.00299999999999967,0,0.002,-0.002,-0.001,0.00299999999999997,0.004,185.53,-156.094,-1258.875
"INHS_FISH_56846",2.74,2.74,0.65,0.64,0.14,0.16,0.21,0.21,145,0.03,0.21,27.36,27.36,6.46,6.45,1.4,1.56,2.11,2.09,3.69,1274.69,8331.38,0.00400000000000045,0.00400000000000045,0.004,-0.005,2.77555756156289e-17,0.004,-0.001,0.001,144.631,-127.439,-832.928
"INHS_FISH_57044",3.79,3.79,1,1,0.3,0.33,0.28,0.28,212,0.06,0.48,37.94,37.93,10.01,9.99,2.97,3.3,2.79,2.76,5.37,2247,18874.17,-0.00399999999999956,-0.00300000000000011,-0.00099999999999989,0.001,0.00299999999999995,5.55111512312578e-17,0.001,0.00400000000000006,211.463,-224.64,-1886.937
"INHS_FISH_57047",5.22,5.22,1.27,1.27,0.36,0.37,0.37,0.37,301,0.1,0.82,52.17,52.22,12.66,12.66,3.62,3.71,3.7,3.69,7.62,3890.07,32271.39,0.00299999999999923,-0.00199999999999978,0.004,0.004,-0.002,-0.001,0,0.001,300.238,-388.907,-3226.319
