"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_64828",1598,1597.36,370,370.56,94,106,116,115.28,203,9489,64716,0,-1.22,392.803,"cm",14.85
"INHS_FISH_64847",1791,1790.7,437,440.97,121,136.88,121,120.07,241,10064,88374,0,-1.6,397.83,"cm",9.6
"INHS_FISH_65370",1770,1769,392,392.15,109,117.55,108,108.19,226,7790,79418,0,-0.03,394.005,"cm",14.35
"INHS_FISH_65390",1832,1831.25,438,437.55,112,114.14,142,141.01,238,13464,88037,0,0.94,396.546,"cm",-1.96
"INHS_FISH_65449",1704,1703.01,362,362.6,94,98.08,116,115.16,209,9833,70655,0,0.24,395.307,"cm",2.19
"INHS_FISH_65468",2125,2124.01,489,490.66,130,132.2,154,153.12,266,16668,117104,0,0.16,394.355,"cm",0.67
"INHS_FISH_65480",1339,1338.54,315,315.63,76,77.67,95,94.01,185,6001,48525,0,1.63,393.533,"cm",1.57
"INHS_FISH_65498",2018,2017.04,493,492.29,151,158.15,137,136.37,265,12938,109723,0,0.37,394.804,"cm",2.88
"INHS_FISH_65537",1846,1845.11,406,405.08,108,111.57,116,115.04,220,9405,79902,0,0.62,392.923,"cm",-0.9
"INHS_FISH_65592",1962,1961.29,392,391.1,98,106.23,120,119.6,230,9417,81114,0,-0.99,393.69,"cm",4.11
"INHS_FISH_67961",1982,1981.38,475,483.62,141,141.23,148,148.35,261,15863,97603,0,1.13,393.143,"cm",-2.22
"INHS_FISH_67962",1399,1398.28,291,305.79,74,74.06,93,92.44,177,7069,41010,0,1.15,394.768,"cm",1.43
"INHS_FISH_68227",1715,1714.95,415,414.27,126,127.74,112,112.15,221,9502,76583,0,-1.9,394.161,"cm",0
"INHS_FISH_68289",1749,1748.14,484,483.08,136,152.05,127,126.02,255,10286,103715,-0.01,-0.72,392.569,"cm",-6.98
"INHS_FISH_68383",1356,1355.05,329,328.26,86,90.14,105,104.17,169,7206,47938,0,-0.51,392.801,"cm",-2.02
"INHS_FISH_68587",2210,2209.22,547,546.57,167,175.82,134,133.09,283,12396,130228,0,-0.8,395.62,"cm",-2.51
"INHS_FISH_68723",2671,2670.26,603,602.75,176,176.92,139,140.43,293,15977,150736,0,-0.79,395.802,"cm",2.1
"INHS_FISH_68743",2774,2773.2,600,600.14,158,164.01,162,161.01,276,17065,151883,0,-0.68,394.816,"cm",0.26
"INHS_FISH_69105",1308,1308.98,338,338.61,79,86.01,112,111.16,174,8528,48470,-0.01,-3.15,392.86,"cm",1.95
"INHS_FISH_7343",1471,1470.14,345,344.15,79,84.86,113,112.04,188,8239,55839,0,-0.78,394.767,"cm",7.31
"INHS_FISH_73688",1459,1458.76,356,359.39,86,86.37,118,117.27,190,9632,58379,0,1.85,393.372,"cm",3.18
"INHS_FISH_73811",2510,2509.03,574,576.24,163,163.11,181,180.8,290,23034,137456,-0.02,-0.3,390.587,"cm",12.53
"INHS_FISH_74284",1489,1488,367,366.39,95,95.26,130,129,213,11466,66666,0,-0.12,393.861,"cm",-2.98
"INHS_FISH_74312",2092,2091.8,447,449.26,109,117.92,147,146.09,248,15098,91669,0,-1.59,395.177,"cm",0.38
"INHS_FISH_74601",1864,1863.08,434,436.11,118,131.48,137,136.44,225,13349,85246,0,-0.52,393.951,"cm",3.53
"INHS_FISH_74801",2064,2063.35,480,479.94,145,145.67,142,142.41,252,13931,95531,0,-1.06,392.028,"cm",3.37
"INHS_FISH_75065",1655,1654.59,364,366.43,118,118.07,129,128.47,208,10793,61421,0.01,1.52,395.165,"cm",5.59
"INHS_FISH_75252",2162,2161.78,460,459,112,117.64,148,147.34,262,16043,100478,0,-1.54,391.742,"cm",4.32
"INHS_FISH_75405",1953,1952,437,437.1,123,123.79,134,133,240,11740,88225,0,-0.09,374.845,"cm",7.6
"INHS_FISH_75455",2103,2102.1,462,461.16,138,148.56,133,132.54,245,11761,94482,0,-0.55,394.535,"cm",1.68
"INHS_FISH_75526",1813,1812,477,477.01,139,144.37,133,132.97,233,12057,94039,0,0.03,393.584,"cm",0.21
"INHS_FISH_75572",3045,3044,695,694.18,216,220.44,194,194.49,350,24447,203884,0,0.08,392.285,"cm",1.1
"INHS_FISH_76172",1774,1773.29,419,418,116,118.07,131,130,233,12014,77119,0,-1.03,396.167,"cm",10.51
