"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_86923",2523,2522.2,587,586.02,177,192.63,153,152.27,299,15054,150581,0,-0.73,393.793,"cm",-1.99
"INHS_FISH_86961",1780,1779.01,488,487.12,150,162.31,125,124.26,228,10099,92422,0,-0.23,394.033,"cm",-3.23
"INHS_FISH_86967",1816,1815.13,443,442.29,113,117.18,135,134.24,230,13287,86763,0,-0.69,394.51,"cm",0.27
"INHS_FISH_86981",1683,1682.04,406,408.58,105,105.3,125,124.1,216,10519,74471,0,0.41,392.936,"cm",3.41
"INHS_FISH_87192",2565,2564.98,554,559.96,152,153.31,145,144.22,279,14902,135198,0,1.59,395.148,"cm",0.76
"INHS_FISH_87318",1544,1543.25,407,406.21,121,129.45,113,112.29,211,7997,76545,0,-1.04,394.152,"cm",12.97
"INHS_FISH_87354",2266,2265.12,462,461.01,116,119.1,147,147.11,258,14756,103141,0,-0.58,396.081,"cm",-1.47
"INHS_FISH_87361",1980,1979,431,430.26,103,110.86,128,127.57,230,10820,87368,0,-0.03,396.399,"cm",-2.52
"INHS_FISH_87372",1791,1790.22,461,466.57,141,141.17,107,106,251,6373,102161,0,0.9,395.159,"cm",3.53
"INHS_FISH_87393",1964,1963.06,471,470.77,141,141.09,128,127.39,240,11331,96186,0.01,-0.44,394.929,"cm",4.12
"INHS_FISH_87395",1486,1485.12,340,339.38,86,94.02,105,104.04,184,7635,55016,0,-0.73,393.218,"cm",0.54
"INHS_FISH_87409",1791,1790.05,447,448.17,135,136.62,132,131.24,235,11537,88468,0,-0.45,395.317,"cm",1.28
"INHS_FISH_87425",2684,2683.09,620,619.23,167,173.76,192,191.51,321,23325,166260,0,-0.47,366.552,"cm",-0.41
"INHS_FISH_87433",1705,1704.13,417,416.04,132,132.54,108,107.47,212,8472,73907,0.01,-0.71,393.924,"cm",5.86
"INHS_FISH_87444",1904,1903.25,469,469.31,119,135.59,153,152.08,245,14645,99238,0,-0.93,394.009,"cm",-0.55
"INHS_FISH_87545",1140,1139.06,263,262.32,56,60.54,80,79.23,138,4677,32772,0,-0.6,393.284,"cm",-1.24
"INHS_FISH_87561",1401,1400.97,346,345.42,87,91.71,110,109,176,8789,52165,0,-2.13,393.431,"cm",8.6
"INHS_FISH_87969",1581,1580.06,414,413.95,116,116.43,113,113.77,196,9068,66772,0,0.51,394.591,"cm",6.86
"INHS_FISH_88015",2174,2173.37,526,528.09,156,156.12,139,140.62,256,14228,116570,0,1.05,397.235,"cm",0.73
"INHS_FISH_88042",1648,1648.2,434,433.42,118,121.28,143,142.03,225,14022,78494,-0.01,-2.19,393.201,"cm",7.78
"INHS_FISH_88046",1699,1698.08,411,412.92,114,114.07,113,112.87,202,8895,72012,0,0.54,393.97,"cm",4.12
"INHS_FISH_88057",2668,2667.06,660,661.13,187,187.27,191,191.27,324,24341,177539,0,0.39,394.731,"cm",0.28
"INHS_FISH_88063",1574,1573.59,328,327.88,63,85.63,114,113.36,177,9012,53797,0,-1.57,394.083,"cm",0.01
"INHS_FISH_88076",2572,2571.8,609,609.66,182,182.02,167,166.87,287,18422,138245,0,-1.43,395.8,"cm",-0.73
"INHS_FISH_88093",1921,1920.03,413,412.12,96,105.19,115,114.04,235,9111,87342,0,-0.3,395.064,"cm",2.56
"INHS_FISH_88290",2074,2073,468,468.63,132,132.85,143,142.01,248,13706,99443,0,0,374.924,"cm",4.53
"INHS_FISH_88630",1844,1843,442,441.5,131,131,138,137.23,242,12749,90159,0,-0.03,395.561,"cm",11.05
"INHS_FISH_88952",3786,3785.05,931,940.18,265,266.69,242,243.25,416,41733,338489,0,0.29,364.539,"cm",-0.42
"INHS_FISH_89013",1353,1353.56,312,315.15,78,90.05,108,107.17,172,8350,45787,0,-2.75,392.685,"cm",0.69
"INHS_FISH_89026",1819,1818,442,441.71,126,127.42,138,137,236,12960,86174,0,0.03,391.97,"cm",-5.24
"INHS_FISH_89039",807,806.63,212,211.06,43,52.43,69,68.07,111,3344,21983,0,-2.27,394.334,"cm",7.08
"INHS_FISH_89077",2294,2293.03,486,485.23,132,137.09,155,154.12,273,16813,111718,0,-0.27,394.747,"cm",1.56
"INHS_FISH_89615",1471,1470.49,392,392.31,74,75.31,120,119.21,192,9449,61371,0,1.48,395.42,"cm",-1.06
"INHS_FISH_89697",1543,1542.98,360,359.8,82,82.15,126,125.14,200,10351,63395,0,2.04,394.678,"cm",2.18
"INHS_FISH_90066",1648,1647.06,405,407.73,94,95.9,109,109.49,206,9049,75025,0,0.49,394.401,"cm",1.77
"INHS_FISH_90142",1856,1855.03,430,429.02,116,123.37,134,133.96,229,11766,87170,-0.01,-0.31,391.837,"cm",5.35
"INHS_FISH_91757",1084,1083.1,265,264.23,59,62.3,96,95.05,144,6491,33659,0,-0.79,394.892,"cm",0.05
"INHS_FISH_91775",1002,1001.01,248,247.13,61,61.07,82,81.06,132,4733,29019,0,-0.23,395.897,"cm",-1.43
"INHS_FISH_92100",1510,1509.16,388,387.57,96,101.51,125,124.1,208,10196,67609,0,-0.84,393.124,"cm",-0.02
"INHS_FISH_92166",1654,1653.02,398,398.21,94,95.71,109,108.04,213,9099,77155,0,-0.31,393.508,"cm",0.01
"INHS_FISH_92249",1676,1675.02,417,416.58,115,115.16,146,145.03,211,15255,70559,0,0.31,392.203,"cm",13.93
"INHS_FISH_92501",2023,2022.25,449,448.64,125,138.65,129,128.02,248,12113,97980,0,-0.91,394.18,"cm",-0.57
"INHS_FISH_92883",1664,1663.25,390,400.91,101,102.11,138,137.3,212,11742,66670,0.01,1,395.723,"cm",8.15
"INHS_FISH_93363",1955,1954.69,420,419.63,101,112.7,131,132.77,237,12135,81717,0,-1.52,394.099,"cm",0.23
"INHS_FISH_94567",2035,2034.08,483,482.04,129,138.35,151,150.21,259,15126,101886,0,0.51,393.6,"cm",-0.04
"INHS_FISH_94624",2362,2361.24,558,557.04,151,153.57,183,183.45,301,23289,139336,0,0.83,391.135,"cm",5.7
"INHS_FISH_94625",1957,1956.04,468,467.35,121,127.76,158,157.38,243,16808,97377,0,-0.35,394.294,"cm",4.62
"INHS_FISH_97377",1498,1498.37,306,309.74,62,73.78,109,109.04,197,9216,55487,0,-2.45,395.782,"cm",0.25
"INHS_FISH_97387",1844,1843,452,451.07,119,124.33,150,149.21,257,15236,97294,0,-0.06,395.619,"cm",1.85
"INHS_FISH_97396",1277,1276.26,326,325.08,94,94.34,100,99.08,180,6786,50987,0,-1.17,395.887,"cm",-0.91
"INHS_FISH_97405",1210,1209.07,281,280.94,66,68.96,103,102,149,6620,37512,0,0.62,392.952,"cm",2.37
"INHS_FISH_97446",1740,1739.42,381,383.82,90,100.62,119,119.85,134,8800,62507,0,-1.25,395.518,"cm",-1.42
"INHS_FISH_97608",1150,1149.27,281,280.64,64,69.86,94,93.43,154,5799,37693,0,-1.25,392.812,"cm",4.69
"INHS_FISH_97610",1480,1479.11,308,307.01,67,73.41,85,84.38,177,5638,47771,0,-0.7,394.359,"cm",1.73
"INHS_FISH_97727",1248,1247.05,288,287,68,70.6,95,94.01,157,5862,40912,0,-0.51,395.872,"cm",3.81
"INHS_FISH_97820",1175,1174.11,293,292.25,70,72.28,98,97.01,153,6403,39183,0,-0.78,394.865,"cm",4.59
"INHS_FISH_97827",1283,1282.35,306,305.1,82,82.87,97,96.05,165,6064,43767,0,-1.34,394.107,"cm",4.9
"INHS_FISH_97870",1307,1306.03,318,317.16,84,86.83,102,101.18,175,7408,48694,0,0.39,394.867,"cm",3.92
"INHS_FISH_98264",1715,1714.2,369,368,76,83.26,90,89.81,207,5384,72420,0,-0.87,393.144,"cm",0.07
"INHS_FISH_98276",1115,1114.24,287,292.02,66,67.08,87,86.05,148,5385,38078,0,1.18,393.887,"cm",9.6
"INHS_FISH_98278",1011,1010.03,220,219.51,51,51.62,74,73.03,124,3822,23337,0,0.45,392.978,"cm",9.05
"INHS_FISH_98618",1624,1623.38,425,424.06,107,112.58,118,117.43,209,9644,77448,0,-1.24,393.481,"cm",-1.1
"INHS_FISH_98624",1437,1436.27,383,385,104,104.58,127,126.67,207,11279,66853,0,1.12,395.259,"cm",1.9
"INHS_FISH_98910",1984,1983.23,511,510.1,138,144.25,141,140.51,285,14831,122386,0,-0.87,396.072,"cm",5.39
"INHS_FISH_99151",2022,2021,513,513.19,137,140.92,137,136.06,290,13929,123646,-0.01,0.03,393.805,"cm",0.09
"INHS_FISH_99198",2167,2166.01,495,494.58,123,127.88,131,130.98,272,12038,122051,0,-0.13,393.997,"cm",-0.9
"INHS_FISH_99207",1675,1674,406,410.34,96,96.08,122,121.07,212,10766,75439,0,0.03,393.269,"cm",1.55
"INHS_FISH_99336",1917,1917.17,455,454.53,94,105.55,131,130.25,246,12935,98315,0,-2,393.68,"cm",0.14
"INHS_FISH_99367",1696,1695.04,415,414.06,99,105.34,118,118.38,228,9822,83331,0,-0.37,393.465,"cm",1.24
"INHS_FISH_99604",1257,1256.52,322,321.02,96,97.67,102,101,183,7646,49541,0,-1.64,396.262,"cm",-0.43
"INHS_FISH_99608",1340,1339.15,377,378.12,99,100.62,110,109,192,7962,56289,0,-0.86,395.037,"cm",0.43
