"dorsal_fin.number","dorsal_fin.percentage","adipos_fin.number","adipos_fin.percentage","caudal_fin.number","caudal_fin.percentage","anal_fin.number","anal_fin.percentage","pelvic_fin.number","pelvic_fin.percentage","pectoral_fin.number","pectoral_fin.percentage","head.number","head.percentage","eye.number","eye.percentage","caudal_fin_ray.number","caudal_fin_ray.percentage","alt_fin_ray.number","alt_fin_ray.percentage","trunk.number","trunk.percentage","file.name"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101010"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.969393682141102,"INHS_FISH_101024"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.990081383519837,"INHS_FISH_101030"
1,1,0,0,1,1,2,0.690909090909091,3,0.521058965102286,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101031"
1,1,0,0,1,1,1,1,1,1,2,0.993253373313343,1,1,1,1,0,0,0,0,2,0.980358558604639,"INHS_FISH_101032"
1,1,0,0,1,1,1,1,2,0.975035663338088,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101041"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101051"
1,1,2,0.666666666666667,2,0.999379363847944,3,0.846153846153846,2,0.502930096274592,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101060"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101061"
1,1,0,0,1,1,4,0.765957446808511,2,0.51256012827365,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101083"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101085"
1,1,0,0,1,1,2,0.999388753056235,1,1,1,1,1,1,1,1,0,0,0,0,2,0.984943077488065,"INHS_FISH_10109"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10111"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.979597291518175,"INHS_FISH_10112"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101130"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988137249579239,"INHS_FISH_101143"
1,1,0,0,1,1,1,1,3,0.990253411306043,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101156"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101196"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101197"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101263"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101268"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101286"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101287"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101318"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101330"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.987439857279297,"INHS_FISH_101356"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101357"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10136"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10137"
1,1,0,0,1,1,1,1,1,1,2,0.998789712556732,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101370"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101371"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.974965741517191,"INHS_FISH_101376"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101385"
1,1,0,0,1,1,5,0.988235294117647,2,0.53187206441512,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101395"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101396"
1,1,2,0.803921568627451,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101420"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.994663533328437,"INHS_FISH_101443"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0.949458483754513,0,0,0,0,1,1,"INHS_FISH_101444"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101483"
1,1,0,0,1,1,2,0.99972972972973,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10152"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.963790579522948,"INHS_FISH_10153"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101534"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999846268159574,"INHS_FISH_101547"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101548"
