,SL_bbox,SL_lm,HL_bbox,HL_lm,pOD_bbox,pOD_lm,ED_bbox,ED_lm,HH_lm,EA_m,HA_m,FA_pca,FA_lm,scale,unit,FA_pca_meta
INHS_FISH_52831,2.86,2.86,0.65,0.65,0.12,0.12,0.2,0.2,132,0.03,0.2,2.59,1.32,393.462,cm,1.68
INHS_FISH_85989,3.86,3.87,0.89,0.89,0.22,0.25,0.23,0.23,199,0.03,0.37,5.07,4.17,391.092,cm,5.17
INHS_FISH_58003,4.62,4.62,1.13,1.14,0.32,0.32,0.34,0.33,245,0.08,0.6,1.15,1.35,394.025,cm,2.12
INHS_FISH_45484,5.22,5.22,1.37,1.36,0.42,0.42,0.37,0.37,294,0.09,0.85,1.25,0.11,391.838,cm,1.05
INHS_FISH_54317,3.56,3.57,0.76,0.76,0.15,0.15,0.23,0.24,171,0.04,0.3,178.39,-3.34,394.215,cm,-1.81
INHS_FISH_76260,3.4,3.4,0.89,0.89,0.24,0.26,0.23,0.23,190,0.04,0.37,0.69,-1.55,392.327,cm,-0.78
INHS_FISH_39175,4.89,4.9,1.23,1.23,0.38,0.38,0.32,0.32,238,0.07,0.62,175.35,-4.34,393.792,cm,-5.1
INHS_FISH_89077,5.82,5.82,1.25,1.25,0.33,0.34,0.4,0.4,272,0.11,0.71,1.69,1.37,394.747,cm,0.72
INHS_FISH_83216,4.69,4.7,1.01,1.01,0.24,0.24,0.29,0.29,216,0.06,0.49,5.66,4.86,394.2,cm,5.42
INHS_FISH_79214,5.4,5.4,1.43,1.43,0.46,0.46,0.41,0.41,277,0.12,0.82,3.65,3.32,392.809,cm,3.73
INHS_FISH_50103,4.52,4.52,1.07,1.07,0.3,0.32,0.3,0.3,226,0.06,0.5,178.91,-2.22,394.441,cm,-2.09
INHS_FISH_90066,4.18,4.18,1.02,1.03,0.24,0.24,0.27,0.27,206,0.06,0.48,1.67,2.16,394.401,cm,1.77
INHS_FISH_64591,4.66,4.66,1.16,1.15,0.32,0.33,0.34,0.33,235,0.08,0.58,0.57,-0.16,393.003,cm,0.29
INHS_FISH_107855,4.17,4.17,0.89,0.89,0.2,0.21,0.31,0.31,210,0.06,0.43,178.51,-0.42,393.956,cm,-1.52
INHS_FISH_45623,5.54,5.54,1.29,1.29,0.39,0.4,0.42,0.42,266,0.11,0.74,2.52,2.1,394.01,cm,1.92
INHS_FISH_82900,4.02,4.02,0.9,0.9,0.22,0.24,0.3,0.29,180,0.06,0.37,178.41,-1.25,374.921,cm,-1.73
INHS_FISH_39569,8.92,8.92,1.96,1.96,0.58,0.6,0.58,0.58,351,0.21,1.63,1.95,0.71,361.421,cm,1.6
INHS_FISH_5569,3.2,3.2,0.77,0.78,0.21,0.21,0.22,0.22,169,0.03,0.3,2.45,2.83,393.217,cm,2.44
INHS_FISH_105892,4.07,4.06,0.99,0.99,0.25,0.25,0.3,0.3,198,0.06,0.43,179.53,-0.21,394.407,cm,-0.57
INHS_FISH_65468,5.39,5.39,1.24,1.24,0.33,0.33,0.39,0.39,266,0.11,0.75,0.16,0.32,394.355,cm,0.67
INHS_FISH_87372,4.51,4.53,1.15,1.17,0.35,0.36,0.27,0.27,252,0.04,0.65,4.49,5.03,395.159,cm,3.53
INHS_FISH_87395,3.78,3.78,0.86,0.86,0.22,0.24,0.27,0.26,186,0.05,0.36,1.08,0.31,393.218,cm,0.54
INHS_FISH_57790,5.04,5.04,1.12,1.14,0.27,0.35,0.31,0.31,150,0.07,0.57,1.04,-1.54,392.338,cm,-0.23
INHS_FISH_49726,4.15,4.16,0.99,0.99,0.27,0.27,0.29,0.28,204,0.06,0.45,4.6,3.27,391.761,cm,3.51
INHS_FISH_63069,6.35,6.35,1.42,1.42,0.4,0.42,0.41,0.41,286,0.1,0.88,2.24,1.12,394.267,cm,1.52
INHS_FISH_38217,9.81,9.82,2.36,2.37,0.82,0.82,0.66,0.66,414,0.3,2.35,2.17,2.28,334.936,cm,1.76
INHS_FISH_64052,3.98,4.0,0.98,0.99,0.29,0.29,0.31,0.31,214,0.07,0.46,6.05,5.21,393.968,cm,5.39
INHS_FISH_64828,3.95,4.06,0.94,0.94,0.26,0.26,0.29,0.29,206,0.06,0.42,15.3,13.81,392.803,cm,14.85
INHS_FISH_62711,4.02,4.02,0.9,0.9,0.23,0.24,0.31,0.31,189,0.07,0.36,177.63,-3.3,393.3,cm,-3.91
INHS_FISH_82543,3.66,3.65,0.9,0.89,0.21,0.23,0.27,0.27,180,0.05,0.35,1.82,0.2,394.444,cm,1.39
INHS_FISH_45655,4.22,4.22,1.07,1.07,0.31,0.31,0.32,0.32,222,0.07,0.49,5.32,2.98,392.036,cm,3.68
INHS_FISH_40851,4.53,4.55,1.24,1.26,0.32,0.41,0.32,0.32,262,0.07,0.71,177.07,-5.15,393.941,cm,-2.81
INHS_FISH_109184,4.71,4.72,1.06,1.07,0.28,0.28,0.32,0.32,206,0.07,0.52,4.07,4.63,378.214,cm,3.57
INHS_FISH_57676,4.29,4.34,1.06,1.07,0.32,0.32,0.33,0.33,238,0.08,0.53,10.96,8.46,394.783,cm,9.88
INHS_FISH_62666,3.86,3.86,1.02,1.02,0.22,0.26,0.34,0.34,211,0.08,0.46,0.25,-1.75,397.199,cm,-0.58
INHS_FISH_82397,4.9,4.91,1.17,1.17,0.36,0.36,0.34,0.34,255,0.09,0.64,2.69,2.43,393.762,cm,2.76
INHS_FISH_38302,6.15,6.15,1.25,1.25,0.32,0.33,0.4,0.4,267,0.11,0.78,3.59,1.82,374.485,cm,2.61
INHS_FISH_38421,5.28,5.28,1.29,1.29,0.33,0.34,0.39,0.39,256,0.11,0.68,179.88,0.3,394.121,cm,-0.36
INHS_FISH_87561,3.54,3.56,0.88,0.88,0.23,0.23,0.28,0.27,182,0.06,0.34,9.04,6.44,393.431,cm,8.6
INHS_FISH_64847,4.44,4.5,1.11,1.11,0.33,0.35,0.3,0.3,248,0.06,0.56,10.9,8.94,397.83,cm,9.6
INHS_FISH_65592,4.97,4.98,0.99,0.99,0.26,0.28,0.3,0.3,235,0.06,0.52,4.88,3.28,393.69,cm,4.11
INHS_FISH_46357,4.29,4.32,0.98,0.98,0.25,0.26,0.32,0.32,236,0.07,0.51,9.13,6.99,395.714,cm,8.29
INHS_FISH_78752,3.47,3.47,0.86,0.86,0.21,0.21,0.28,0.28,176,0.05,0.32,4.69,3.39,395.069,cm,4.48
INHS_FISH_87409,4.53,4.53,1.13,1.13,0.34,0.35,0.33,0.33,237,0.07,0.57,1.98,1.5,395.317,cm,1.28
INHS_FISH_42877,3.86,3.87,1.04,1.04,0.32,0.32,0.31,0.31,210,0.07,0.46,5.84,5.37,394.015,cm,5.72
INHS_FISH_75572,7.76,7.76,1.77,1.77,0.55,0.56,0.49,0.49,350,0.16,1.32,1.14,1.17,392.285,cm,1.1
INHS_FISH_55788,3.98,3.98,0.97,0.97,0.27,0.27,0.31,0.31,212,0.06,0.44,179.41,0.22,395.411,cm,0.15
INHS_FISH_39104,5.13,5.15,1.02,1.02,0.29,0.3,0.3,0.29,243,0.05,0.51,5.71,5.28,392.223,cm,5.41
INHS_FISH_57998,4.97,5.05,1.26,1.26,0.36,0.36,0.36,0.36,264,0.09,0.69,10.83,10.24,396.478,cm,11.34
INHS_FISH_88076,6.5,6.5,1.54,1.54,0.46,0.46,0.42,0.42,287,0.12,0.88,179.51,-1.67,395.8,cm,-0.73
INHS_FISH_99608,3.39,3.39,0.95,0.96,0.25,0.25,0.28,0.28,192,0.05,0.36,0.94,0.13,395.037,cm,0.43
INHS_FISH_97820,2.97,2.97,0.74,0.74,0.18,0.18,0.25,0.24,153,0.04,0.25,4.93,3.91,394.865,cm,4.59
INHS_FISH_94624,6.0,6.03,1.42,1.42,0.39,0.39,0.46,0.46,305,0.15,0.91,5.8,6.33,391.135,cm,5.7
INHS_FISH_62643,4.15,4.15,0.91,0.91,0.25,0.27,0.23,0.23,207,0.05,0.43,0.2,0.21,392.171,cm,-0.76
INHS_FISH_33711,3.31,3.31,0.67,0.67,0.13,0.15,0.24,0.24,162,0.04,0.25,3.4,2.4,397.545,cm,3.04
INHS_FISH_28516,6.0,6.0,1.32,1.32,0.39,0.39,0.35,0.34,257,0.08,0.74,4.56,2.68,392.026,cm,3.63
INHS_FISH_39101,8.16,8.16,1.88,1.88,0.55,0.56,0.53,0.53,324,0.19,1.46,1.37,0.83,357.064,cm,0.65
INHS_FISH_27108,3.72,3.77,0.9,0.9,0.29,0.29,0.26,0.26,192,0.05,0.36,11.52,9.87,394.322,cm,10.92
INHS_FISH_57867,6.16,6.21,1.42,1.44,0.39,0.39,0.46,0.46,306,0.15,0.94,8.62,7.76,394.644,cm,8.12
INHS_FISH_79758,4.19,4.2,0.96,0.96,0.27,0.27,0.31,0.3,194,0.07,0.41,5.83,4.95,394.084,cm,5.37
INHS_FISH_39603,5.39,5.41,1.32,1.32,0.37,0.37,0.37,0.37,261,0.1,0.72,6.97,5.7,399.662,cm,6.56
INHS_FISH_51878,4.84,4.85,1.22,1.22,0.32,0.32,0.37,0.37,252,0.1,0.65,2.97,3.01,393.26,cm,3.24
INHS_FISH_86754,4.84,4.92,1.23,1.23,0.39,0.39,0.33,0.33,248,0.08,0.64,11.93,10.73,392.864,cm,11.65
INHS_FISH_45487,3.97,3.97,0.98,0.99,0.29,0.36,0.24,0.24,128,0.03,0.4,178.29,-2.72,392.381,cm,-1.94
INHS_FISH_60532,6.13,6.14,1.62,1.62,0.44,0.46,0.46,0.46,317,0.15,1.1,175.5,-3.99,378.883,cm,-4.7
INHS_FISH_109180,5.34,5.34,1.18,1.19,0.32,0.37,0.38,0.38,252,0.09,0.66,0.14,-1.67,378.365,cm,-0.38
INHS_FISH_85684,3.89,3.89,0.94,0.94,0.28,0.28,0.27,0.27,200,0.05,0.4,177.8,-1.47,392.242,cm,-3.51
INHS_FISH_107279,4.93,4.94,1.14,1.14,0.33,0.33,0.36,0.35,253,0.09,0.62,176.08,-4.05,395.219,cm,-4.07
INHS_FISH_98276,2.78,2.82,0.7,0.72,0.16,0.17,0.22,0.21,150,0.03,0.25,9.29,9.84,393.887,cm,9.6
INHS_FISH_97377,3.79,3.79,0.78,0.78,0.16,0.19,0.28,0.28,196,0.06,0.35,1.2,-1.3,395.782,cm,0.25
INHS_FISH_62865,3.98,4.0,1.01,1.02,0.3,0.31,0.33,0.32,215,0.07,0.44,6.6,6.21,393.411,cm,5.91
INHS_FISH_65480,3.4,3.4,0.8,0.8,0.2,0.2,0.24,0.24,185,0.04,0.31,0.68,2.31,393.533,cm,1.57
INHS_FISH_89697,3.91,3.91,0.91,0.91,0.21,0.21,0.32,0.32,200,0.07,0.41,0.42,2.23,394.678,cm,2.18
INHS_FISH_48405,3.95,4.01,1.02,1.01,0.3,0.32,0.27,0.27,216,0.04,0.48,14.14,10.3,392.704,cm,12.44
INHS_FISH_88057,6.76,6.75,1.67,1.67,0.47,0.48,0.48,0.48,321,0.16,1.14,0.42,0.39,394.731,cm,0.28
INHS_FISH_68383,3.45,3.45,0.84,0.84,0.22,0.22,0.26,0.26,167,0.05,0.31,177.92,-2.16,392.801,cm,-2.02
INHS_FISH_39009,2.99,3.08,0.73,0.73,0.2,0.2,0.23,0.23,160,0.04,0.23,14.94,14.4,392.946,cm,14.78
INHS_FISH_57695,5.73,5.73,1.27,1.28,0.33,0.33,0.42,0.41,274,0.12,0.78,178.97,-1.26,396.162,cm,-0.89
INHS_FISH_54294,5.05,5.05,1.32,1.32,0.4,0.41,0.41,0.41,297,0.11,0.79,1.35,0.66,394.574,cm,1.2
INHS_FISH_81465,4.19,4.22,1.07,1.08,0.31,0.32,0.32,0.32,226,0.08,0.5,6.68,6.64,395.872,cm,10.93
INHS_FISH_77121,5.41,5.41,1.2,1.2,0.34,0.34,0.35,0.35,251,0.09,0.65,2.27,0.7,393.16,cm,2.46
INHS_FISH_109884,4.54,4.54,1.0,0.99,0.25,0.27,0.34,0.34,109,0.08,0.4,178.83,-2.34,393.936,cm,-2.59
INHS_FISH_45686,2.83,2.84,0.75,0.75,0.19,0.2,0.25,0.24,157,0.04,0.25,5.63,3.07,394.443,cm,5.26
INHS_FISH_54292,3.82,3.84,0.94,0.94,0.25,0.25,0.32,0.31,207,0.06,0.41,6.31,5.48,392.705,cm,6.56
INHS_FISH_64262,5.99,6.0,1.54,1.57,0.45,0.45,0.43,0.43,309,0.13,0.96,3.98,4.46,392.348,cm,4.2
INHS_FISH_57626,4.61,4.61,1.06,1.06,0.26,0.27,0.33,0.33,236,0.08,0.59,179.8,-1.14,394.096,cm,-0.41
INHS_FISH_51491,5.56,5.56,1.32,1.32,0.38,0.39,0.37,0.37,279,0.09,0.75,3.23,3.04,393.759,cm,3.31
INHS_FISH_88093,4.86,4.86,1.04,1.04,0.25,0.26,0.29,0.29,235,0.06,0.56,2.24,1.91,395.064,cm,2.56
INHS_FISH_1475,4.27,4.27,1.0,1.02,0.26,0.26,0.31,0.31,213,0.07,0.46,1.51,2.36,397.535,cm,2.08
INHS_FISH_61088,4.06,4.07,1.02,1.02,0.25,0.25,0.29,0.29,210,0.06,0.47,5.9,5.17,392.993,cm,5.6
INHS_FISH_57950,4.55,4.55,1.09,1.08,0.27,0.29,0.32,0.32,227,0.07,0.53,3.89,2.87,395.251,cm,6.33
INHS_FISH_87354,5.72,5.72,1.16,1.16,0.29,0.29,0.37,0.37,255,0.09,0.66,178.87,-1.47,396.081,cm,-1.47
INHS_FISH_39584,3.87,3.87,0.87,0.88,0.22,0.22,0.27,0.26,179,0.05,0.34,177.33,-2.35,391.081,cm,-2.77
INHS_FISH_76551,4.76,4.77,1.14,1.14,0.29,0.3,0.34,0.34,229,0.08,0.57,3.19,2.26,393.505,cm,2.78
INHS_FISH_42535,3.14,3.14,0.72,0.72,0.21,0.22,0.16,0.16,155,0.02,0.25,0.29,0.65,392.231,cm,1.24
INHS_FISH_28477,5.02,5.03,1.32,1.32,0.46,0.46,0.32,0.32,260,0.07,0.69,3.09,3.37,395.697,cm,2.17
INHS_FISH_78507,4.64,4.65,1.14,1.14,0.33,0.35,0.35,0.34,251,0.08,0.61,5.14,3.48,393.951,cm,4.05
INHS_FISH_47091,5.74,5.74,1.25,1.25,0.35,0.37,0.39,0.39,259,0.11,0.73,2.09,1.43,363.701,cm,1.15
INHS_FISH_35020,4.84,4.84,1.07,1.06,0.32,0.32,0.33,0.32,222,0.07,0.5,0.09,-0.84,394.45,cm,-0.71
INHS_FISH_97446,4.39,4.4,0.96,0.96,0.23,0.26,0.3,0.3,134,0.06,0.4,178.69,-2.44,395.518,cm,-1.42
INHS_FISH_65449,4.31,4.31,0.91,0.91,0.24,0.25,0.29,0.29,211,0.06,0.45,2.12,2.15,395.307,cm,2.19
INHS_FISH_92883,4.16,4.2,0.94,0.99,0.25,0.26,0.34,0.34,215,0.07,0.43,7.6,8.13,395.723,cm,8.15
INHS_FISH_99207,4.26,4.26,1.03,1.04,0.24,0.24,0.31,0.31,213,0.07,0.49,1.61,1.51,393.269,cm,1.55
INHS_FISH_62986,6.18,6.18,1.47,1.46,0.4,0.43,0.43,0.43,312,0.12,0.99,1.55,1.18,391.989,cm,1.05
INHS_FISH_88630,4.57,4.65,1.08,1.11,0.33,0.33,0.34,0.34,249,0.08,0.58,11.3,10.96,395.561,cm,11.05
INHS_FISH_102958,3.37,3.37,0.89,0.89,0.24,0.28,0.27,0.26,183,0.05,0.36,1.42,0.09,392.894,cm,1.07
INHS_FISH_41797,5.95,5.96,1.36,1.36,0.39,0.4,0.36,0.36,257,0.1,0.82,5.45,3.02,375.716,cm,4.91
INHS_FISH_78175,5.6,5.6,1.24,1.24,0.36,0.36,0.35,0.35,255,0.09,0.69,0.32,0.31,393.464,cm,0.14
INHS_FISH_89039,2.04,2.04,0.54,0.54,0.12,0.13,0.17,0.17,113,0.02,0.14,7.84,5.12,394.334,cm,7.08
INHS_FISH_102621,3.35,3.38,0.86,0.86,0.22,0.22,0.29,0.29,195,0.06,0.36,13.35,8.51,393.897,cm,12.29
INHS_FISH_76360,5.0,5.02,1.12,1.12,0.31,0.31,0.34,0.34,255,0.07,0.59,5.12,5.5,396.799,cm,5.07
INHS_FISH_59481,5.61,5.61,1.34,1.34,0.35,0.36,0.38,0.37,292,0.09,0.86,178.96,-1.03,396.372,cm,-1.63
INHS_FISH_106370,3.83,3.83,0.87,0.88,0.18,0.18,0.26,0.25,180,0.05,0.36,179.99,0.27,393.611,cm,-0.27
INHS_FISH_79653,4.13,4.13,1.02,1.02,0.25,0.25,0.28,0.28,213,0.05,0.47,2.65,1.61,396.045,cm,2.37
INHS_FISH_50378,2.61,2.66,0.66,0.66,0.15,0.15,0.23,0.23,148,0.04,0.23,13.93,11.22,396.659,cm,12.87
INHS_FISH_75455,5.33,5.33,1.17,1.17,0.35,0.38,0.34,0.34,246,0.08,0.61,2.13,1.47,394.535,cm,1.68
INHS_FISH_57656,4.44,4.44,1.13,1.13,0.32,0.33,0.35,0.34,237,0.08,0.59,179.56,-0.13,392.753,cm,-0.35
INHS_FISH_33608,1.86,1.93,0.7,0.7,0.11,0.11,0.18,0.18,109,0.02,0.14,17.79,16.29,392.858,cm,17.75
INHS_FISH_57800,5.58,5.58,1.3,1.3,0.31,0.35,0.37,0.37,277,0.1,0.85,3.86,2.23,390.84,cm,3.56
INHS_FISH_54320,3.74,3.74,0.87,0.87,0.22,0.23,0.29,0.29,194,0.05,0.36,3.01,1.67,394.697,cm,2.24
INHS_FISH_38783,4.06,4.06,1.03,1.03,0.26,0.26,0.34,0.34,210,0.08,0.46,1.93,2.36,394.51,cm,1.94
INHS_FISH_55841,5.14,5.14,1.19,1.19,0.32,0.34,0.36,0.35,252,0.09,0.67,0.72,-0.6,392.625,cm,-0.48
INHS_FISH_1420,3.7,3.69,0.89,0.88,0.2,0.21,0.31,0.3,190,0.06,0.37,0.61,0.0,394.605,cm,0.75
INHS_FISH_63944,4.62,4.62,1.22,1.22,0.38,0.38,0.37,0.37,242,0.1,0.63,0.6,-0.5,393.799,cm,-0.19
INHS_FISH_42961,4.13,4.17,1.0,1.0,0.31,0.32,0.31,0.31,219,0.07,0.46,9.83,8.52,393.199,cm,10.11
INHS_FISH_12657,4.29,4.29,1.02,1.02,0.21,0.23,0.29,0.29,217,0.06,0.52,178.01,-2.71,394.974,cm,-2.19
INHS_FISH_109244,3.21,3.25,0.8,0.79,0.19,0.21,0.24,0.24,166,0.05,0.29,170.55,-9.34,394.562,cm,-9.57
INHS_FISH_64273,2.8,2.81,0.67,0.67,0.13,0.14,0.23,0.23,144,0.04,0.22,6.86,4.38,392.194,cm,5.52
INHS_FISH_74601,4.72,4.73,1.11,1.11,0.31,0.33,0.35,0.34,226,0.09,0.55,3.49,2.52,393.951,cm,3.53
INHS_FISH_79402,5.2,5.2,1.17,1.17,0.33,0.36,0.34,0.34,254,0.07,0.64,1.74,1.06,396.428,cm,1.31
INHS_FISH_109181,5.82,5.82,1.27,1.27,0.35,0.36,0.34,0.34,265,0.09,0.78,179.93,-0.6,378.773,cm,-0.76
INHS_FISH_99367,4.31,4.31,1.05,1.05,0.25,0.27,0.3,0.3,228,0.06,0.54,1.83,1.22,393.465,cm,1.24
INHS_FISH_49923,2.78,2.83,0.73,0.73,0.18,0.18,0.24,0.24,158,0.04,0.25,12.57,10.62,394.993,cm,11.23
INHS_FISH_44640,4.84,4.96,1.12,1.12,0.34,0.34,0.33,0.32,258,0.07,0.59,13.79,12.75,395.654,cm,13.12
INHS_FISH_58662,9.5,9.5,2.28,2.29,0.62,0.67,0.56,0.55,202,0.2,1.59,177.53,-2.08,356.057,cm,-3.12
INHS_FISH_67961,5.04,5.04,1.22,1.24,0.36,0.36,0.38,0.38,261,0.1,0.63,177.36,-1.1,393.143,cm,-2.22
INHS_FISH_29673,5.68,5.68,1.31,1.31,0.39,0.39,0.41,0.41,271,0.11,0.77,178.75,-1.33,394.234,cm,-1.39
INHS_FISH_106489,4.01,4.0,0.98,0.98,0.24,0.24,0.31,0.31,204,0.06,0.43,178.16,-0.51,393.472,cm,-1.51
INHS_FISH_62697,5.58,5.58,1.43,1.43,0.4,0.42,0.4,0.4,296,0.11,0.87,2.9,2.12,393.507,cm,2.66
INHS_FISH_39401,3.82,3.82,0.98,0.97,0.24,0.26,0.31,0.3,200,0.06,0.42,1.95,0.95,392.953,cm,0.48
INHS_FISH_57047,5.22,5.22,1.27,1.27,0.36,0.37,0.37,0.37,301,0.1,0.82,175.25,-2.95,395.031,cm,-4.79
INHS_FISH_75252,5.51,5.51,1.17,1.17,0.29,0.3,0.37,0.37,260,0.1,0.65,5.28,3.24,391.742,cm,4.32
INHS_FISH_38304,4.66,4.66,1.15,1.14,0.36,0.36,0.34,0.34,244,0.08,0.59,2.66,2.04,392.493,cm,2.38
INHS_FISH_64110,3.57,3.57,0.87,0.87,0.21,0.22,0.24,0.23,175,0.04,0.35,177.3,-2.45,392.998,cm,-2.82
INHS_FISH_82406,6.01,6.01,1.32,1.31,0.34,0.36,0.38,0.38,280,0.1,0.81,1.62,0.89,395.233,cm,0.67
INHS_FISH_64277,4.88,4.88,1.13,1.13,0.31,0.31,0.32,0.32,216,0.07,0.51,177.49,-1.61,394.614,cm,-3.66
INHS_FISH_40608,5.36,5.36,1.36,1.36,0.36,0.37,0.39,0.39,288,0.11,0.82,3.1,1.93,393.189,cm,2.2
INHS_FISH_57837,4.72,4.72,1.16,1.16,0.31,0.32,0.33,0.33,240,0.07,0.6,2.25,1.82,393.424,cm,2.55
INHS_FISH_79848,4.07,4.1,0.97,0.98,0.25,0.25,0.36,0.35,222,0.09,0.45,9.74,7.68,396.278,cm,8.81
INHS_FISH_82448,4.49,4.51,1.04,1.04,0.3,0.3,0.34,0.34,221,0.08,0.47,6.31,5.91,392.145,cm,5.65
INHS_FISH_68723,6.75,6.75,1.52,1.52,0.45,0.45,0.35,0.34,295,0.1,0.96,2.54,1.67,395.802,cm,2.1
INHS_FISH_58554,4.03,4.05,0.84,0.84,0.19,0.21,0.23,0.23,118,0.04,0.33,7.95,6.19,394.071,cm,7.59
INHS_FISH_64466,5.26,5.26,1.38,1.39,0.38,0.38,0.39,0.38,252,0.11,0.74,0.04,-0.41,394.512,cm,-0.54
INHS_FISH_97608,2.93,2.92,0.72,0.72,0.17,0.19,0.24,0.24,155,0.04,0.24,4.71,2.29,392.812,cm,4.69
INHS_FISH_97827,3.25,3.25,0.77,0.77,0.21,0.21,0.24,0.24,166,0.04,0.28,5.12,3.31,394.107,cm,4.9
INHS_FISH_42999,4.33,4.35,0.97,0.98,0.3,0.3,0.29,0.29,206,0.06,0.43,5.29,5.49,394.175,cm,5.26
INHS_FISH_40755,3.86,4.0,0.94,0.95,0.28,0.28,0.33,0.32,218,0.07,0.42,16.75,15.34,393.691,cm,16.33
INHS_FISH_62646,3.27,3.29,0.8,0.81,0.26,0.26,0.25,0.25,170,0.05,0.29,8.54,6.35,392.629,cm,7.48
INHS_FISH_98278,2.54,2.57,0.55,0.55,0.13,0.13,0.19,0.18,125,0.02,0.15,8.99,8.85,392.978,cm,9.05
INHS_FISH_54319,5.04,5.03,1.0,1.0,0.24,0.26,0.32,0.31,237,0.08,0.54,1.37,0.38,392.429,cm,1.24
INHS_FISH_92100,3.84,3.84,0.99,0.99,0.24,0.26,0.32,0.32,208,0.07,0.44,0.67,-0.19,393.124,cm,-0.02
INHS_FISH_102957,4.75,4.79,1.04,1.05,0.28,0.28,0.34,0.34,223,0.08,0.52,7.7,8.08,391.925,cm,7.56
INHS_FISH_77504,7.26,7.27,1.73,1.73,0.51,0.53,0.52,0.52,341,0.18,1.28,177.41,-3.05,382.606,cm,-2.84
INHS_FISH_5716,5.01,5.07,1.19,1.18,0.26,0.27,0.35,0.35,267,0.09,0.69,11.07,9.26,393.128,cm,10.77
INHS_FISH_100201,4.66,4.66,1.16,1.16,0.29,0.3,0.3,0.29,224,0.07,0.59,2.4,1.46,394.287,cm,2.89
INHS_FISH_74312,5.29,5.29,1.13,1.14,0.28,0.29,0.37,0.37,248,0.1,0.59,1.58,-0.05,395.177,cm,0.38
INHS_FISH_85573,4.12,4.13,1.03,1.03,0.29,0.3,0.31,0.3,265,0.07,0.54,174.74,-4.18,392.286,cm,-7.76
INHS_FISH_45001,5.52,5.52,1.32,1.32,0.39,0.43,0.37,0.37,309,0.1,0.87,179.61,-0.94,397.056,cm,-0.39
INHS_FISH_63016,4.99,4.99,1.07,1.07,0.26,0.28,0.31,0.31,231,0.06,0.54,2.66,1.08,392.789,cm,2.2
INHS_FISH_86967,4.6,4.6,1.12,1.12,0.29,0.29,0.34,0.34,230,0.09,0.56,1.3,0.63,394.51,cm,0.27
INHS_FISH_83228,3.86,3.88,0.89,0.9,0.23,0.24,0.29,0.29,185,0.06,0.36,7.63,6.15,394.781,cm,7.16
INHS_FISH_27168,4.36,4.36,1.05,1.06,0.27,0.27,0.33,0.33,209,0.07,0.49,1.44,1.75,375.68,cm,1.38
INHS_FISH_63158,4.69,4.93,0.99,1.02,0.22,0.24,0.32,0.31,250,0.08,0.55,18.26,17.83,393.716,cm,17.8
INHS_FISH_109206,4.09,4.09,0.94,0.94,0.24,0.26,0.29,0.29,197,0.05,0.4,0.74,0.44,379.732,cm,0.57
INHS_FISH_109198,6.26,6.27,1.75,1.75,0.36,0.36,0.41,0.41,290,0.13,0.97,176.38,-3.71,378.904,cm,-4.08
INHS_FISH_78486,3.29,3.29,0.72,0.72,0.17,0.17,0.25,0.25,159,0.05,0.26,1.92,2.08,393.987,cm,1.57
INHS_FISH_4171,3.38,3.38,0.76,0.76,0.21,0.21,0.23,0.23,172,0.04,0.27,3.43,3.33,397.605,cm,3.31
INHS_FISH_79287,7.13,7.13,1.75,1.75,0.49,0.5,0.54,0.54,315,0.19,1.23,178.42,-2.65,366.989,cm,-2.4
INHS_FISH_78762,5.36,5.36,1.37,1.37,0.35,0.37,0.39,0.39,295,0.11,0.88,177.05,-3.12,391.11,cm,-3.26
INHS_FISH_48421,4.95,4.95,1.23,1.24,0.36,0.37,0.34,0.34,260,0.08,0.68,1.14,1.24,393.64,cm,0.03
INHS_FISH_47856,5.03,5.03,1.17,1.18,0.31,0.32,0.38,0.38,220,0.1,0.58,0.88,1.29,363.122,cm,0.16
INHS_FISH_88290,5.51,5.53,1.23,1.24,0.35,0.36,0.38,0.38,249,0.1,0.71,4.58,4.26,374.924,cm,4.53
INHS_FISH_6219,3.54,3.54,0.8,0.8,0.19,0.21,0.27,0.27,180,0.05,0.32,3.11,1.27,394.967,cm,2.59
INHS_FISH_108901,4.17,4.2,1.01,1.02,0.29,0.3,0.31,0.31,223,0.06,0.47,7.32,6.18,394.334,cm,6.47
INHS_FISH_57898,5.26,5.26,1.18,1.18,0.33,0.34,0.3,0.29,231,0.07,0.62,0.43,-0.17,394.377,cm,-0.09
INHS_FISH_62701,6.29,6.29,1.51,1.5,0.4,0.43,0.38,0.38,330,0.12,1.09,178.46,-2.98,391.662,cm,-1.99
INHS_FISH_109174,4.62,4.64,1.02,1.03,0.22,0.22,0.32,0.32,191,0.08,0.48,5.89,5.3,377.93,cm,4.57
INHS_FISH_107723,2.43,2.43,0.6,0.6,0.15,0.15,0.18,0.17,125,0.02,0.17,174.56,-4.62,392.588,cm,-5.18
INHS_FISH_91757,2.75,2.74,0.67,0.67,0.15,0.16,0.24,0.24,143,0.04,0.22,1.07,0.32,394.892,cm,0.05
INHS_FISH_38815,4.91,4.9,1.22,1.21,0.37,0.38,0.31,0.31,233,0.07,0.61,0.68,0.15,394.529,cm,-0.36
INHS_FISH_62969,5.81,5.83,1.5,1.49,0.42,0.44,0.43,0.43,307,0.12,0.95,6.28,4.51,392.735,cm,6.33
