"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","X.none.","X.none..1","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","unit.conv"
"INHS_FISH_106211",143783,"INHS_143783.JPG","106211","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106211.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10778766,1803,1802.69,388,388.01,76,80.01,111,110.22,219,9558,79018,178.78,-1.59,392.953,"cm",-1.36,"INHS_FISH_106211",NA,NA,45.88,45.88,9.87,9.87,1.93,2.04,2.82,2.8,5.57,0.62,5.12,"mm"
"INHS_FISH_106370",143815,"INHS_143815.JPG","106370","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106370.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10177568,1509,1508.02,343,345.49,72,72.01,101,100.08,180,7581,55533,179.99,0.27,393.611,"cm",-0.27,"INHS_FISH_106370",NA,NA,38.34,38.31,8.71,8.78,1.83,1.83,2.57,2.54,4.57,0.49,3.58,"mm"
"INHS_FISH_106489",143851,"INHS_143851.JPG","106489","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106489.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11060908,1576,1575.06,387,387.49,93,93.54,121,120.07,204,9841,66810,178.16,-0.51,393.472,"cm",-1.51,"INHS_FISH_106489",NA,NA,40.05,40.03,9.84,9.85,2.36,2.38,3.08,3.05,5.18,0.64,4.32,"mm"
"INHS_FISH_106924",143983,"INHS_143983.JPG","106924","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106924.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10812765,1582,1582.22,378,377.13,87,90.25,128,127.57,205,10847,66018,178.88,-2.25,392.917,"cm",-0.97,"INHS_FISH_106924",NA,NA,40.26,40.27,9.62,9.6,2.21,2.3,3.26,3.25,5.22,0.7,4.28,"mm"
"INHS_FISH_107279",144080,"INHS_144080.JPG","107279","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107279.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11259990,1949,1952.88,449,452.27,129,129.14,141,140.06,253,14331,97317,176.08,-4.05,395.219,"cm",-4.07,"INHS_FISH_107279",NA,NA,49.31,49.41,11.36,11.44,3.26,3.27,3.57,3.54,6.4,0.92,6.23,"mm"
"INHS_FISH_107309",144087,"INHS_144087.JPG","107309","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107309.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10727421,1120,1119.55,294,301.96,80,81.05,85,84.1,155,5352,39406,0.47,1.79,392.973,"cm",0.37,"INHS_FISH_107309",NA,NA,28.5,28.49,7.48,7.68,2.04,2.06,2.16,2.14,3.94,0.35,2.55,"mm"
"INHS_FISH_107723",144263,"INHS_144263.JPG","107723","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107723.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10191789,953,955.11,236,235.21,57,59.77,69,68.03,125,3241,26441,174.56,-4.62,392.588,"cm",-5.18,"INHS_FISH_107723",NA,NA,24.27,24.33,6.01,5.99,1.45,1.52,1.76,1.73,3.18,0.21,1.72,"mm"
"INHS_FISH_107855",144310,"INHS_144310.JPG","107855","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107855.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10468932,1642,1641.04,350,349.01,78,82.54,122,121.93,210,9843,66416,178.51,-0.42,393.956,"cm",-1.52,"INHS_FISH_107855",NA,NA,41.68,41.66,8.88,8.86,1.98,2.1,3.1,3.1,5.33,0.63,4.28,"mm"
"INHS_FISH_108252",144421,"INHS_144421.JPG","108252","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108252.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9813481,1199,1200.16,290,292.48,79,79.16,98,97.01,165,6534,40523,3.88,3.44,394.532,"cm",3.41,"INHS_FISH_108252",NA,NA,30.39,30.42,7.35,7.41,2,2.01,2.48,2.46,4.18,0.42,2.6,"mm"
"INHS_FISH_108579",144485,"INHS_144485.JPG","108579","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108579.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9584858,1562,1565.01,399,398.41,111,111.88,131,130.02,218,11709,73821,5.15,4.1,394.979,"cm",4.27,"INHS_FISH_108579",NA,NA,39.55,39.62,10.1,10.09,2.81,2.83,3.32,3.29,5.52,0.75,4.73,"mm"
"INHS_FISH_108622",144499,"INHS_144499.JPG","108622","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108622.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10623133,949,949.48,240,240.75,51,53.16,81,80.89,125,5118,26346,178.71,-3.2,390.816,"cm",-1.73,"INHS_FISH_108622",NA,NA,24.28,24.29,6.14,6.16,1.3,1.36,2.07,2.07,3.2,0.34,1.72,"mm"
"INHS_FISH_108901",144590,"INHS_144590.JPG","108901","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108901.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10624154,1646,1654.6,398,401.21,116,117.39,123,122.07,223,10035,72711,7.32,6.18,394.334,"cm",6.47,"INHS_FISH_108901",NA,NA,41.74,41.96,10.09,10.17,2.94,2.98,3.12,3.1,5.66,0.65,4.68,"mm"
"INHS_FISH_109174",144634,"INHS_144634.JPG","109174","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109174.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10628211,1746,1752.5,385,390.33,84,84.72,122,121.2,191,11237,68466,5.89,5.3,377.93,"cm",4.57,"INHS_FISH_109174",NA,NA,46.2,46.37,10.19,10.33,2.22,2.24,3.23,3.21,5.05,0.79,4.79,"mm"
"INHS_FISH_109176",144636,"INHS_144636.JPG","109176","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109176.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10410511,1968,1969.64,442,442.31,118,127.77,134,133.09,227,12549,85843,177.63,-2.97,378.174,"cm",-2.89,"INHS_FISH_109176",NA,NA,52.04,52.08,11.69,11.7,3.12,3.38,3.54,3.52,6,0.88,6,"mm"
"INHS_FISH_109178",144638,"INHS_144638.JPG","109178","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109178.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9823582,1908,1907.98,451,450.64,122,128.71,131,130.55,238,12875,95889,179.34,-1.83,379.248,"cm",-1.79,"INHS_FISH_109178",NA,NA,50.31,50.31,11.89,11.88,3.22,3.39,3.45,3.44,6.28,0.9,6.67,"mm"
"INHS_FISH_109180",144640,"INHS_144640.JPG","109180","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109180.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,12095445,2019,2018.86,448,448.79,122,140.66,144,143.01,252,13502,93778,0.14,-1.67,378.365,"cm",-0.38,"INHS_FISH_109180",NA,NA,53.36,53.36,11.84,11.86,3.22,3.72,3.81,3.78,6.66,0.94,6.55,"mm"
"INHS_FISH_109181",144641,"INHS_144641.JPG","109181","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109181.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9488934,2204,2203.12,482,481.7,132,136.82,128,127.02,265,13272,111700,179.93,-0.6,378.773,"cm",-0.76,"INHS_FISH_109181",NA,NA,58.19,58.16,12.73,12.72,3.48,3.61,3.38,3.35,7,0.93,7.79,"mm"
"INHS_FISH_109184",144644,"INHS_144644.JPG","109184","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109184.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10481512,1780,1784.82,402,403.98,105,105.02,122,121.07,206,10270,73783,4.07,4.63,378.214,"cm",3.57,"INHS_FISH_109184",NA,NA,47.06,47.19,10.63,10.68,2.78,2.78,3.23,3.2,5.45,0.72,5.16,"mm"
"INHS_FISH_109190",144650,"INHS_144650.JPG","109190","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109190.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,8867655,2251,2252.79,517,516.03,145,149.4,131,130.38,266,12735,118499,3.25,2.85,377.636,"cm",3.25,"INHS_FISH_109190",NA,NA,59.61,59.66,13.69,13.66,3.84,3.96,3.47,3.45,7.04,0.89,8.31,"mm"
"INHS_FISH_109191",144651,"INHS_144651.JPG","109191","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109191.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10259881,2413,2413.33,519,519.32,154,154.94,143,142.06,286,15426,130020,2.4,1.9,381.082,"cm",1.79,"INHS_FISH_109191",NA,NA,63.32,63.33,13.62,13.63,4.04,4.07,3.75,3.73,7.5,1.06,8.95,"mm"
"INHS_FISH_109193",144653,"INHS_144653.JPG","109193","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109193.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9883055,1228,1230.6,258,258.98,46,46,98,97.51,40,8014,27096,5.91,4.38,378.865,"cm",5.07,"INHS_FISH_109193",NA,NA,32.41,32.48,6.81,6.84,1.21,1.21,2.59,2.57,1.06,0.56,1.89,"mm"
"INHS_FISH_109198",144658,"INHS_144658.JPG","109198","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109198.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11168604,2373,2376.99,663,663.46,137,137.06,155,154.01,290,18247,139231,176.38,-3.71,378.904,"cm",-4.08,"INHS_FISH_109198",NA,NA,62.63,62.73,17.5,17.51,3.62,3.62,4.09,4.06,7.65,1.27,9.7,"mm"
"INHS_FISH_109201",144661,"INHS_144661.JPG","109201","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109201.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10142884,1914,1913.1,430,434.67,101,101.18,139,138.06,211,12987,81596,179.56,0.6,376.145,"cm",-0.7,"INHS_FISH_109201",NA,NA,50.88,50.86,11.43,11.56,2.69,2.69,3.7,3.67,5.61,0.92,5.77,"mm"
"INHS_FISH_109205",144665,"INHS_144665.JPG","109205","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109205.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10602237,1959,1958.02,462,461.43,128,130.23,159,158.08,251,17841,96170,0.6,-0.23,379.871,"cm",-0.28,"INHS_FISH_109205",NA,NA,51.57,51.54,12.16,12.15,3.37,3.43,4.19,4.16,6.61,1.24,6.66,"mm"
"INHS_FISH_109206",144666,"INHS_144666.JPG","109206","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109206.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10822140,1555,1554.05,358,357.04,92,100.32,110,109.02,197,6834,57041,0.74,0.44,379.732,"cm",0.57,"INHS_FISH_109206",NA,NA,40.95,40.92,9.43,9.4,2.42,2.64,2.9,2.87,5.19,0.47,3.96,"mm"
"INHS_FISH_109244",144675,"INHS_144675.JPG","109244","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109244.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10814878,1265,1281,314,313.27,74,81.02,96,95.05,166,7342,44704,170.55,-9.34,394.562,"cm",-9.57,"INHS_FISH_109244",NA,NA,32.06,32.47,7.96,7.94,1.88,2.05,2.43,2.41,4.21,0.47,2.87,"mm"
"INHS_FISH_109884",144709,"INHS_144709.JPG","109884","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109884.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10203014,1789,1789.49,392,391.86,97,107.79,134,133.09,109,12324,61316,178.83,-2.34,393.936,"cm",-2.59,"INHS_FISH_109884",NA,NA,45.41,45.43,9.95,9.95,2.46,2.74,3.4,3.38,2.77,0.79,3.95,"mm"
"INHS_FISH_11806",124480,"INHS_124480.JPG","11806","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11806.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11220392,1505,1504.51,345,344.07,97,99.25,111,110.02,190,8730,56001,0.88,1.49,393.861,"cm",1.28,"INHS_FISH_11806",NA,NA,38.21,38.2,8.76,8.74,2.46,2.52,2.82,2.79,4.82,0.56,3.61,"mm"
"INHS_FISH_11858",124489,"INHS_124489.JPG","11858","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11858.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11350486,1862,1874.43,463,465.38,138,138.23,144,143,258,13554,95326,6.8,6.86,395.61,"cm",7.13,"INHS_FISH_11858",NA,NA,47.07,47.38,11.7,11.76,3.49,3.49,3.64,3.61,6.52,0.87,6.09,"mm"
"INHS_FISH_11869",124493,"INHS_124493.JPG","11869","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11869.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11520447,1607,1621.27,370,375.96,110,110,129,128,215,12128,67347,9.11,7.87,393.85,"cm",9.29,"INHS_FISH_11869",NA,NA,40.8,41.16,9.39,9.55,2.79,2.79,3.28,3.25,5.46,0.78,4.34,"mm"
"INHS_FISH_11891",124499,"INHS_124499.JPG","11891","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11891.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11054368,1621,1621.11,359,358.87,91,99.01,123,122.15,206,10239,65098,3.83,2.12,393.958,"cm",3.2,"INHS_FISH_11891",NA,NA,41.15,41.15,9.11,9.11,2.31,2.51,3.12,3.1,5.23,0.66,4.19,"mm"
"INHS_FISH_12657",124643,"INHS_124643.JPG","12657","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_12657.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10817013,1693,1693.89,402,401.1,83,92.57,115,114.07,217,9738,81129,178.01,-2.71,394.974,"cm",-2.19,"INHS_FISH_12657",NA,NA,42.86,42.89,10.18,10.16,2.1,2.34,2.91,2.89,5.49,0.62,5.2,"mm"
"INHS_FISH_1420",121999,"INHS_121999.JPG","1420","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_1420.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10533944,1459,1458,350,349,78,83.57,121,120.27,190,8791,57275,0.61,0,394.605,"cm",0.75,"INHS_FISH_1420",NA,NA,36.97,36.95,8.87,8.84,1.98,2.12,3.07,3.05,4.81,0.56,3.68,"mm"
"INHS_FISH_1475",122014,"INHS_122014.JPG","1475","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_1475.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11256335,1699,1699.44,398,403.84,105,105.08,124,123.26,213,11466,72672,1.51,2.36,397.535,"cm",2.08,"INHS_FISH_1475",NA,NA,42.74,42.75,10.01,10.16,2.64,2.64,3.12,3.1,5.36,0.73,4.6,"mm"
"INHS_FISH_17758",125956,"INHS_125956.JPG","17758","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_17758.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11029840,1431,1432.58,322,321.4,80,84.12,96,95.08,179,7678,50701,177.07,-3.44,395.249,"cm",-3.83,"INHS_FISH_17758",NA,NA,36.21,36.24,8.15,8.13,2.02,2.13,2.43,2.41,4.53,0.49,3.25,"mm"
"INHS_FISH_17803",125965,"INHS_125965.JPG","17803","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_17803.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11382234,1689,1689.25,364,365.31,88,90.03,124,123.07,202,11307,62216,0.79,2.21,394.883,"cm",1.06,"INHS_FISH_17803",NA,NA,42.77,42.78,9.22,9.25,2.23,2.28,3.14,3.12,5.12,0.73,3.99,"mm"
"INHS_FISH_22941",127178,"INHS_127178.JPG","22941","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_22941.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11321737,1509,1508.01,365,365.68,96,96.75,96,95.34,202,6033,61365,178.91,0.15,394.101,"cm",-1.21,"INHS_FISH_22941",NA,NA,38.29,38.26,9.26,9.28,2.44,2.45,2.44,2.42,5.13,0.39,3.95,"mm"
"INHS_FISH_26980",128239,"INHS_128239.JPG","26980","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_26980.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11835425,1061,1066.66,243,247.74,54,54.23,76,75.11,137,4357,30368,6.69,6.41,395.06,"cm",5.98,"INHS_FISH_26980",NA,NA,26.86,27,6.15,6.27,1.37,1.37,1.92,1.9,3.47,0.28,1.95,"mm"
"INHS_FISH_27043",128244,"INHS_128244.JPG","27043","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27043.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10586574,1130,1140,278,282.41,67,67.74,85,84.01,149,5090,35561,9.04,7.97,393.262,"cm",8.63,"INHS_FISH_27043",NA,NA,28.73,28.99,7.07,7.18,1.7,1.72,2.16,2.14,3.79,0.33,2.3,"mm"
"INHS_FISH_27108",128257,"INHS_128257.JPG","27108","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27108.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10899872,1466,1487.03,353,353.54,113,113.28,103,102,192,8427,55442,11.52,9.87,394.322,"cm",10.92,"INHS_FISH_27108",NA,NA,37.18,37.71,8.95,8.97,2.87,2.87,2.61,2.59,4.87,0.54,3.57,"mm"
"INHS_FISH_27141",128263,"INHS_128263.JPG","27141","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27141.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11179071,1935,1934.81,450,449.45,133,134.08,120,120.51,236,10037,87801,177.96,-1.66,395.15,"cm",-2.31,"INHS_FISH_27141",NA,NA,48.97,48.96,11.39,11.37,3.37,3.39,3.04,3.05,5.97,0.64,5.62,"mm"
"INHS_FISH_27168",128266,"INHS_128266.JPG","27168","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27168.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10761169,1637,1636.76,396,397.67,102,102.02,124,123.02,209,10351,69492,1.44,1.75,375.68,"cm",1.38,"INHS_FISH_27168",NA,NA,43.57,43.57,10.54,10.59,2.72,2.72,3.3,3.27,5.56,0.73,4.92,"mm"
"INHS_FISH_28477",128397,"INHS_128397.JPG","28477","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_28477.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10970074,1986,1988.45,523,522.35,181,183,128,127.14,260,11199,108056,3.09,3.37,395.697,"cm",2.17,"INHS_FISH_28477",NA,NA,50.19,50.25,13.22,13.2,4.57,4.62,3.23,3.21,6.57,0.72,6.9,"mm"
"INHS_FISH_28516",128401,"INHS_128401.JPG","28516","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_28516.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11136336,2352,2353.57,516,517.14,153,154.43,136,135.13,257,12093,113218,4.56,2.68,392.026,"cm",3.63,"INHS_FISH_28516",NA,NA,60,60.04,13.16,13.19,3.9,3.94,3.47,3.45,6.56,0.79,7.37,"mm"
"INHS_FISH_29673",128485,"INHS_128485.JPG","29673","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_29673.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10681776,2238,2237.6,515,517.15,154,154.08,161,160.45,271,17156,119307,178.75,-1.33,394.234,"cm",-1.39,"INHS_FISH_29673",NA,NA,56.77,56.76,13.06,13.12,3.91,3.91,4.08,4.07,6.87,1.1,7.68,"mm"
"INHS_FISH_30800",128703,"INHS_128703.JPG","30800","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_30800.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10563907,3035,3036.29,685,685,210,212.13,192,192.26,339,24642,189581,2.97,2.23,359.799,"cm",2.41,"INHS_FISH_30800",NA,NA,84.35,84.39,19.04,19.04,5.84,5.9,5.34,5.34,9.42,1.9,14.64,"mm"
"INHS_FISH_33014",129014,"INHS_129014.JPG","33014","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33014.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10670078,1897,1896.66,478,477.04,124,135.25,138,137.36,251,13184,98358,178.83,-1.51,393.781,"cm",-0.86,"INHS_FISH_33014",NA,NA,48.17,48.17,12.14,12.11,3.15,3.43,3.5,3.49,6.37,0.85,6.34,"mm"
"INHS_FISH_33196",129054,"INHS_129054.JPG","33196","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33196.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10713578,1068,1080.14,291,291.76,91,97.5,85,84,164,4929,35822,8.96,8.95,393.379,"cm",8.2,"INHS_FISH_33196",NA,NA,27.15,27.46,7.4,7.42,2.31,2.48,2.16,2.14,4.17,0.32,2.31,"mm"
"INHS_FISH_33330",129084,"INHS_129084.JPG","33330","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33330.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11115981,2403,2403.47,532,534.38,139,139.13,149,148.05,268,15551,126381,1.05,2,396.695,"cm",0.85,"INHS_FISH_33330",NA,NA,60.58,60.59,13.41,13.47,3.5,3.51,3.76,3.73,6.76,0.99,8.03,"mm"
