"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"771","INHS_FISH_108579.jpg",144485,"INHS_144485.JPG",108579,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108579.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9584858,"11803331-9e2a-5e84-a502-369c736daec4","4aec1495-df0a-40dc-8cd7-e75ad17d2321",22,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",6,"Notropis volucellus","Notropis ","Cyprinidae"
"776","INHS_FISH_108622.jpg",144499,"INHS_144499.JPG",108622,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108622.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10623133,"807e26cf-ef75-5393-8954-187ebc1dc3aa","000555f5-24e0-4ef9-920a-419cddd1b0bc",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
"787","INHS_FISH_108738.jpg",144537,"INHS_144537.JPG",108738,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108738.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10983640,"9dca2e17-b30d-5a0e-a47d-c0eafca05c54","69281dcd-a991-4f5b-9f13-0bef68a27251",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"793","INHS_FISH_108840.jpg",144567,"INHS_144567.JPG",108840,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108840.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10217233,"5f73f301-d78c-5f3c-8503-6d9c836c075d","4d6c33ff-c824-437b-9c79-6f7a911b5ed8",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
"801","INHS_FISH_108901.jpg",144590,"INHS_144590.JPG",108901,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108901.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10624154,"a4d6b94d-0638-55f7-a44e-2450f4b704d9","6695bc90-8cc1-420e-8a8f-738b79c611d3",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"816","INHS_FISH_109174.jpg",144634,"INHS_144634.JPG",109174,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109174.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10628211,"189b7c94-3558-5028-a584-0ad7fb231ded","216e0b13-d006-40ca-96d3-f42fea657650",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis leuciodus","Notropis ","Cyprinidae"
"817","INHS_FISH_109176.jpg",144636,"INHS_144636.JPG",109176,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109176.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10410511,"b16a1a2b-9253-5e94-adf8-30c058bac945","ceb03d20-99b9-462a-b647-e609d844fa81",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",10,"Notropis leuciodus","Notropis ","Cyprinidae"
"818","INHS_FISH_109178.jpg",144638,"INHS_144638.JPG",109178,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109178.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9823582,"3e2b0da6-da61-540a-b3e3-99a076af605c","2eed371a-3d53-423a-b788-a6619ea8753c",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Notropis leuciodus","Notropis ","Cyprinidae"
"819","INHS_FISH_109180.jpg",144640,"INHS_144640.JPG",109180,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109180.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,12095445,"ab0d054b-2a50-5fa6-95ba-7507c487c2f8","7a9c9c89-bd81-4211-8a0c-aba7cf825cfa",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis leuciodus","Notropis ","Cyprinidae"
"820","INHS_FISH_109181.jpg",144641,"INHS_144641.JPG",109181,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109181.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9488934,"97b9bec2-92e4-5136-b9e4-6f710673363f","4c5cd2f7-3f9a-4a0d-b7a0-f052f4301073",26,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis leuciodus","Notropis ","Cyprinidae"
"821","INHS_FISH_109184.jpg",144644,"INHS_144644.JPG",109184,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109184.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10481512,"11e5f3fc-8cd9-51e7-bd25-548b335799f7","ebc5be7b-cfb8-4113-a126-c9205292cc84",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Notropis leuciodus","Notropis ","Cyprinidae"
