"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","X.none.","X.none..1"
"INHS_FISH_107279",144080,"INHS_144080.JPG","107279","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107279.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11259990,1949,1952.88,449,452.27,129,129.14,141,140.06,253,14331,97317,176.08,-4.05,395.219,"cm",-4.07,"INHS_FISH_107279",NA,NA
"INHS_FISH_107309",144087,"INHS_144087.JPG","107309","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107309.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10727421,1120,1119.55,294,301.96,80,81.05,85,84.1,155,5352,39406,0.47,1.79,392.973,"cm",0.37,"INHS_FISH_107309",NA,NA
"INHS_FISH_107723",144263,"INHS_144263.JPG","107723","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107723.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10191789,953,955.11,236,235.21,57,59.77,69,68.03,125,3241,26441,174.56,-4.62,392.588,"cm",-5.18,"INHS_FISH_107723",NA,NA
"INHS_FISH_107855",144310,"INHS_144310.JPG","107855","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107855.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10468932,1642,1641.04,350,349.01,78,82.54,122,121.93,210,9843,66416,178.51,-0.42,393.956,"cm",-1.52,"INHS_FISH_107855",NA,NA
"INHS_FISH_108252",144421,"INHS_144421.JPG","108252","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108252.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9813481,1199,1200.16,290,292.48,79,79.16,98,97.01,165,6534,40523,3.88,3.44,394.532,"cm",3.41,"INHS_FISH_108252",NA,NA
"INHS_FISH_108579",144485,"INHS_144485.JPG","108579","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108579.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9584858,1562,1565.01,399,398.41,111,111.88,131,130.02,218,11709,73821,5.15,4.1,394.979,"cm",4.27,"INHS_FISH_108579",NA,NA
"INHS_FISH_108622",144499,"INHS_144499.JPG","108622","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108622.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10623133,949,949.48,240,240.75,51,53.16,81,80.89,125,5118,26346,178.71,-3.2,390.816,"cm",-1.73,"INHS_FISH_108622",NA,NA
"INHS_FISH_108901",144590,"INHS_144590.JPG","108901","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108901.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10624154,1646,1654.6,398,401.21,116,117.39,123,122.07,223,10035,72711,7.32,6.18,394.334,"cm",6.47,"INHS_FISH_108901",NA,NA
"INHS_FISH_109174",144634,"INHS_144634.JPG","109174","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109174.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10628211,1746,1752.5,385,390.33,84,84.72,122,121.2,191,11237,68466,5.89,5.3,377.93,"cm",4.57,"INHS_FISH_109174",NA,NA
"INHS_FISH_109176",144636,"INHS_144636.JPG","109176","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109176.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10410511,1968,1969.64,442,442.31,118,127.77,134,133.09,227,12549,85843,177.63,-2.97,378.174,"cm",-2.89,"INHS_FISH_109176",NA,NA
"INHS_FISH_109178",144638,"INHS_144638.JPG","109178","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109178.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9823582,1908,1907.98,451,450.64,122,128.71,131,130.55,238,12875,95889,179.34,-1.83,379.248,"cm",-1.79,"INHS_FISH_109178",NA,NA
"INHS_FISH_109180",144640,"INHS_144640.JPG","109180","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109180.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,12095445,2019,2018.86,448,448.79,122,140.66,144,143.01,252,13502,93778,0.14,-1.67,378.365,"cm",-0.38,"INHS_FISH_109180",NA,NA
"INHS_FISH_109181",144641,"INHS_144641.JPG","109181","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109181.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9488934,2204,2203.12,482,481.7,132,136.82,128,127.02,265,13272,111700,179.93,-0.6,378.773,"cm",-0.76,"INHS_FISH_109181",NA,NA
"INHS_FISH_109184",144644,"INHS_144644.JPG","109184","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109184.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10481512,1780,1784.82,402,403.98,105,105.02,122,121.07,206,10270,73783,4.07,4.63,378.214,"cm",3.57,"INHS_FISH_109184",NA,NA
"INHS_FISH_109190",144650,"INHS_144650.JPG","109190","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109190.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,8867655,2251,2252.79,517,516.03,145,149.4,131,130.38,266,12735,118499,3.25,2.85,377.636,"cm",3.25,"INHS_FISH_109190",NA,NA
"INHS_FISH_109191",144651,"INHS_144651.JPG","109191","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109191.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10259881,2413,2413.33,519,519.32,154,154.94,143,142.06,286,15426,130020,2.4,1.9,381.082,"cm",1.79,"INHS_FISH_109191",NA,NA
"INHS_FISH_109193",144653,"INHS_144653.JPG","109193","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109193.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9883055,1228,1230.6,258,258.98,46,46,98,97.51,40,8014,27096,5.91,4.38,378.865,"cm",5.07,"INHS_FISH_109193",NA,NA
"INHS_FISH_109198",144658,"INHS_144658.JPG","109198","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109198.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11168604,2373,2376.99,663,663.46,137,137.06,155,154.01,290,18247,139231,176.38,-3.71,378.904,"cm",-4.08,"INHS_FISH_109198",NA,NA
"INHS_FISH_109201",144661,"INHS_144661.JPG","109201","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109201.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10142884,1914,1913.1,430,434.67,101,101.18,139,138.06,211,12987,81596,179.56,0.6,376.145,"cm",-0.7,"INHS_FISH_109201",NA,NA
"INHS_FISH_109205",144665,"INHS_144665.JPG","109205","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109205.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10602237,1959,1958.02,462,461.43,128,130.23,159,158.08,251,17841,96170,0.6,-0.23,379.871,"cm",-0.28,"INHS_FISH_109205",NA,NA
"INHS_FISH_109206",144666,"INHS_144666.JPG","109206","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109206.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10822140,1555,1554.05,358,357.04,92,100.32,110,109.02,197,6834,57041,0.74,0.44,379.732,"cm",0.57,"INHS_FISH_109206",NA,NA
"INHS_FISH_109244",144675,"INHS_144675.JPG","109244","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109244.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10814878,1265,1281,314,313.27,74,81.02,96,95.05,166,7342,44704,170.55,-9.34,394.562,"cm",-9.57,"INHS_FISH_109244",NA,NA
"INHS_FISH_109884",144709,"INHS_144709.JPG","109884","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109884.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10203014,1789,1789.49,392,391.86,97,107.79,134,133.09,109,12324,61316,178.83,-2.34,393.936,"cm",-2.59,"INHS_FISH_109884",NA,NA
"INHS_FISH_11806",124480,"INHS_124480.JPG","11806","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11806.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11220392,1505,1504.51,345,344.07,97,99.25,111,110.02,190,8730,56001,0.88,1.49,393.861,"cm",1.28,"INHS_FISH_11806",NA,NA
"INHS_FISH_11858",124489,"INHS_124489.JPG","11858","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11858.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11350486,1862,1874.43,463,465.38,138,138.23,144,143,258,13554,95326,6.8,6.86,395.61,"cm",7.13,"INHS_FISH_11858",NA,NA
"INHS_FISH_11869",124493,"INHS_124493.JPG","11869","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11869.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11520447,1607,1621.27,370,375.96,110,110,129,128,215,12128,67347,9.11,7.87,393.85,"cm",9.29,"INHS_FISH_11869",NA,NA
"INHS_FISH_11891",124499,"INHS_124499.JPG","11891","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_11891.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11054368,1621,1621.11,359,358.87,91,99.01,123,122.15,206,10239,65098,3.83,2.12,393.958,"cm",3.2,"INHS_FISH_11891",NA,NA
"INHS_FISH_12657",124643,"INHS_124643.JPG","12657","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_12657.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10817013,1693,1693.89,402,401.1,83,92.57,115,114.07,217,9738,81129,178.01,-2.71,394.974,"cm",-2.19,"INHS_FISH_12657",NA,NA
"INHS_FISH_1420",121999,"INHS_121999.JPG","1420","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_1420.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10533944,1459,1458,350,349,78,83.57,121,120.27,190,8791,57275,0.61,0,394.605,"cm",0.75,"INHS_FISH_1420",NA,NA
"INHS_FISH_1475",122014,"INHS_122014.JPG","1475","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_1475.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11256335,1699,1699.44,398,403.84,105,105.08,124,123.26,213,11466,72672,1.51,2.36,397.535,"cm",2.08,"INHS_FISH_1475",NA,NA
"INHS_FISH_17758",125956,"INHS_125956.JPG","17758","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_17758.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11029840,1431,1432.58,322,321.4,80,84.12,96,95.08,179,7678,50701,177.07,-3.44,395.249,"cm",-3.83,"INHS_FISH_17758",NA,NA
"INHS_FISH_17803",125965,"INHS_125965.JPG","17803","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_17803.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11382234,1689,1689.25,364,365.31,88,90.03,124,123.07,202,11307,62216,0.79,2.21,394.883,"cm",1.06,"INHS_FISH_17803",NA,NA
"INHS_FISH_22941",127178,"INHS_127178.JPG","22941","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_22941.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11321737,1509,1508.01,365,365.68,96,96.75,96,95.34,202,6033,61365,178.91,0.15,394.101,"cm",-1.21,"INHS_FISH_22941",NA,NA
"INHS_FISH_26980",128239,"INHS_128239.JPG","26980","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_26980.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11835425,1061,1066.66,243,247.74,54,54.23,76,75.11,137,4357,30368,6.69,6.41,395.06,"cm",5.98,"INHS_FISH_26980",NA,NA
"INHS_FISH_27043",128244,"INHS_128244.JPG","27043","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27043.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10586574,1130,1140,278,282.41,67,67.74,85,84.01,149,5090,35561,9.04,7.97,393.262,"cm",8.63,"INHS_FISH_27043",NA,NA
"INHS_FISH_27108",128257,"INHS_128257.JPG","27108","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27108.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10899872,1466,1487.03,353,353.54,113,113.28,103,102,192,8427,55442,11.52,9.87,394.322,"cm",10.92,"INHS_FISH_27108",NA,NA
"INHS_FISH_27141",128263,"INHS_128263.JPG","27141","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27141.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11179071,1935,1934.81,450,449.45,133,134.08,120,120.51,236,10037,87801,177.96,-1.66,395.15,"cm",-2.31,"INHS_FISH_27141",NA,NA
"INHS_FISH_27168",128266,"INHS_128266.JPG","27168","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_27168.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10761169,1637,1636.76,396,397.67,102,102.02,124,123.02,209,10351,69492,1.44,1.75,375.68,"cm",1.38,"INHS_FISH_27168",NA,NA
"INHS_FISH_28477",128397,"INHS_128397.JPG","28477","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_28477.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10970074,1986,1988.45,523,522.35,181,183,128,127.14,260,11199,108056,3.09,3.37,395.697,"cm",2.17,"INHS_FISH_28477",NA,NA
"INHS_FISH_28516",128401,"INHS_128401.JPG","28516","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_28516.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11136336,2352,2353.57,516,517.14,153,154.43,136,135.13,257,12093,113218,4.56,2.68,392.026,"cm",3.63,"INHS_FISH_28516",NA,NA
"INHS_FISH_29673",128485,"INHS_128485.JPG","29673","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_29673.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10681776,2238,2237.6,515,517.15,154,154.08,161,160.45,271,17156,119307,178.75,-1.33,394.234,"cm",-1.39,"INHS_FISH_29673",NA,NA
"INHS_FISH_30800",128703,"INHS_128703.JPG","30800","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_30800.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10563907,3035,3036.29,685,685,210,212.13,192,192.26,339,24642,189581,2.97,2.23,359.799,"cm",2.41,"INHS_FISH_30800",NA,NA
"INHS_FISH_33014",129014,"INHS_129014.JPG","33014","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33014.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10670078,1897,1896.66,478,477.04,124,135.25,138,137.36,251,13184,98358,178.83,-1.51,393.781,"cm",-0.86,"INHS_FISH_33014",NA,NA
"INHS_FISH_33196",129054,"INHS_129054.JPG","33196","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33196.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10713578,1068,1080.14,291,291.76,91,97.5,85,84,164,4929,35822,8.96,8.95,393.379,"cm",8.2,"INHS_FISH_33196",NA,NA
"INHS_FISH_33330",129084,"INHS_129084.JPG","33330","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33330.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11115981,2403,2403.47,532,534.38,139,139.13,149,148.05,268,15551,126381,1.05,2,396.695,"cm",0.85,"INHS_FISH_33330",NA,NA
"INHS_FISH_33382",129091,"INHS_129091.JPG","33382","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33382.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,11020914,2445,2447.78,619,622.18,179,179.01,183,182.27,298,25517,148082,2.84,3.19,360.569,"cm",2.66,"INHS_FISH_33382",NA,NA
"INHS_FISH_33608",129150,"INHS_129150.JPG","33608","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33608.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10859199,730,759.48,275,274.31,44,44.72,71,70.18,109,3531,22216,17.79,16.29,392.858,"cm",17.75,"INHS_FISH_33608",NA,NA
"INHS_FISH_33711",129163,"INHS_129163.JPG","33711","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33711.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11044286,1316,1316.15,267,266.09,53,59.48,97,96.05,162,6679,38948,3.4,2.4,397.545,"cm",3.04,"INHS_FISH_33711",NA,NA
"INHS_FISH_35010",129218,"INHS_129218.JPG","35010","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_35010.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11040567,2235,2243.66,504,503.1,154,161.91,129,128.14,269,12017,113837,6.77,5.32,391.462,"cm",5.62,"INHS_FISH_35010",NA,NA
"INHS_FISH_35020",129219,"INHS_129219.JPG","35020","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_35020.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10735000,1908,1907.21,421,420.02,125,125.78,129,128.1,222,11454,78206,0.09,-0.84,394.45,"cm",-0.71,"INHS_FISH_35020",NA,NA
"INHS_FISH_3504",122434,"INHS_122434.JPG","3504","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_3504.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11595428,1667,1673.29,372,381.76,93,93.05,118,117.11,211,10245,71508,5.24,5.35,395.626,"cm",5.7,"INHS_FISH_3504",NA,NA
"INHS_FISH_36043",129249,"INHS_129249.JPG","36043","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_36043.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11310696,2515,2517.57,595,594.48,177,189.61,157,157.04,310,18427,161092,177.46,-3.05,392.198,"cm",-2.28,"INHS_FISH_36043",NA,NA
"INHS_FISH_36527",129323,"INHS_129323.JPG","36527","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_36527.jpg","Notropis baileyi","Notropis ","Cyprinidae","INHS",6016,4016,9358421,1878,1877.81,483,482.5,125,135.77,140,139.13,263,13180,108786,2.61,1.68,391.361,"cm",1.87,"INHS_FISH_36527",NA,NA
"INHS_FISH_36532",129324,"INHS_129324.JPG","36532","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_36532.jpg","Notropis ammophilus","Notropis ","Cyprinidae","INHS",6016,4016,9643943,1472,1475.26,355,355.93,86,110.26,95,95.19,198,6232,62487,178.16,-4.35,393.367,"cm",-2.82,"INHS_FISH_36532",NA,NA
"INHS_FISH_37891",129461,"INHS_129461.JPG","37891","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_37891.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11392123,2347,2383.12,520,525.91,159,159.15,148,147,287,14905,126539,10.78,10.13,392.024,"cm",10.62,"INHS_FISH_37891",NA,NA
"INHS_FISH_38217",129533,"INHS_129533.JPG","38217","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38217.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10719657,3287,3288.61,792,792.46,273,273.09,220,220.66,414,33346,263348,2.17,2.28,334.936,"cm",1.76,"INHS_FISH_38217",NA,NA
"INHS_FISH_38220",129535,"INHS_129535.JPG","38220","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38220.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11054145,2337,2336.07,534,535.07,154,154.08,161,160.25,280,16997,125212,179.3,-0.44,396.71,"cm",-1.12,"INHS_FISH_38220",NA,NA
"INHS_FISH_38302",129560,"INHS_129560.JPG","38302","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38302.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10530632,2304,2304.16,469,468,120,123,150,149,267,15479,108857,3.59,1.82,374.485,"cm",2.61,"INHS_FISH_38302",NA,NA
"INHS_FISH_38304",129561,"INHS_129561.JPG","38304","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38304.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10567630,1830,1830.15,450,449.4,140,140.23,133,132,244,12554,90853,2.66,2.04,392.493,"cm",2.38,"INHS_FISH_38304",NA,NA
"INHS_FISH_38421",129602,"INHS_129602.JPG","38421","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38421.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10803276,2082,2081.03,508,509.36,132,132.06,152,152.9,256,17679,106150,179.88,0.3,394.121,"cm",-0.36,"INHS_FISH_38421",NA,NA
"INHS_FISH_38522",129635,"INHS_129635.JPG","38522","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38522.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10645424,3965,3964.48,883,882.62,256,267.04,250,250.25,437,46078,329278,0.29,-0.9,356.56,"cm",-0.08,"INHS_FISH_38522",NA,NA
"INHS_FISH_38536",129639,"INHS_129639.JPG","38536","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38536.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10602520,1743,1761.3,466,474.41,176,193.33,122,121.59,270,11083,94451,9.98,8.49,396.683,"cm",9.95,"INHS_FISH_38536",NA,NA
"INHS_FISH_38725",129671,"INHS_129671.JPG","38725","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38725.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10284144,2142,2141.39,478,477.07,121,127.76,128,127.77,179,9402,102181,179.37,1.1,377.695,"cm",-0.33,"INHS_FISH_38725",NA,NA
