"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"1205","INHS_FISH_012567.jpg",124618,"INHS_124618.JPG","12567","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_012567.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,7062027,"9fc87023-728f-5cc1-8eb4-407bdf036186","d1e6f70d-0b20-4ed8-bddf-cfe9530c668a",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",6,"Carassius auratus","Carassius ","Cyprinidae"
"1206","INHS_FISH_012651.jpg",124639,"INHS_124639.JPG","12651","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_012651.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,6702140,"b9a4439c-ce42-5d86-8664-d23767b0017e","6689afdb-f759-4b29-8eec-5100b8aca6c0",16,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1207","INHS_FISH_012907.jpg",124696,"INHS_124696.JPG","12907","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_012907.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,6483336,"631f8ba7-5eaf-5cd5-808e-2c1957a239f3","2cb1068c-80ca-47ef-9970-bfe99b94ddf1",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1208","INHS_FISH_014026.jpg",125015,"INHS_125015.JPG","14026","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_014026.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7095072,"882733c4-8652-5d4a-8ede-b2c5b6647f02","c25d65e9-9caf-42c2-9749-fae39ca20fa3",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1209","INHS_FISH_014466.jpg",125112,"INHS_125112.JPG","14466","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_014466.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,7995049,"607e09ca-aa26-51a2-80c6-23d0e962abc0","7c9a6459-2975-48db-a9cb-730fc1b9f173",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",5,"Carassius auratus","Carassius ","Cyprinidae"
"1212","INHS_FISH_016519.jpg",125650,"INHS_125650.JPG","16519","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_016519.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7234431,"bfa61eb2-584b-50ff-ab53-285608e7972b","a75fd6f8-e8b6-45c4-b30f-e56d18960a71",15,1,"True","True","True","False","detailed","False","False","clear disks","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1213","INHS_FISH_016548.jpg",125660,"INHS_125660.JPG","16548","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_016548.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,5973185,"13075e27-73de-589b-be7e-e78c6a0dcc3c","001a6724-f80b-4980-967e-86d6028dbea0",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1214","INHS_FISH_017334.jpg",125839,"INHS_125839.JPG","17334","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_017334.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7478631,"e301bf10-aa8f-5a8a-87ea-8ceebfbed22b","fa09c26c-d3f1-492a-877d-ce21f0ef782d",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1215","INHS_FISH_018481.jpg",126109,"INHS_126109.JPG","18481","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_018481.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7359004,"36f35970-c200-5fed-8c68-4889ce9a9a63","9b01ff97-058c-48f2-b520-157c03ac95df",23,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",10,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1216","INHS_FISH_020902.jpg",126701,"INHS_126701.JPG","20902","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_020902.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7858987,"e2b2099f-3ad5-5d71-94d4-647e7fe86763","2f464d8e-19d3-4c9b-9a3f-33046e1c882f",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1217","INHS_FISH_021318.jpg",126790,"INHS_126790.JPG","21318","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_021318.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7110857,"ec169132-5016-5dc6-ae66-f95a6a925ebd","7d6e4baf-6d67-4808-871f-dd0283650580",15,1,"True","True","True","False","detailed","False","False","clear disks","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1218","INHS_FISH_024433.jpg",127525,"INHS_127525.JPG","24433","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_024433.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7171440,"dd734010-4576-5379-82a7-a75530eb71e6","c7046b20-3cf3-4825-841e-cb0163bde65d",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1221","INHS_FISH_024978.jpg",127635,"INHS_127635.JPG","24978","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_024978.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6891237,"8cafd77d-cd10-5aec-ad2e-fb962bcb0c16","1d7ff69e-c644-49da-a9d7-a0091d881c91",15,1,"True","True","True","False","detailed","False","False","clear disks","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Carassius auratus","Carassius ","Cyprinidae"
"1222","INHS_FISH_025263.jpg",127728,"INHS_127728.JPG","25263","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_025263.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6459527,"9d4f162c-770e-5c7c-bfbb-deb6e434fbfc","b7e77fbb-7c36-4f7d-9385-bc9b63900839",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Carassius auratus","Carassius ","Cyprinidae"
"1223","INHS_FISH_025379.jpg",127772,"INHS_127772.JPG","25379","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_025379.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7093686,"79b3c6d1-ee73-5657-8016-c38d8a252fb4","adc68026-c427-49d8-8245-682c4f0c1f95",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
